UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,93059,93060,93040,93053,-1,93050,93015.4,93003.30714,93070.29557,93211.39269,20
2020.06.12 06:35,93044,93071,93033,93059,1,93052,93015.1,92998.80476,93074.49934,93213.84165,38
2020.06.12 06:30,93030,93050,93005,93043,1,93027.5,93015.5,92994.79286,93078.84856,93216.30102,45
2020.06.12 06:25,93029,93044,93007,93031,1,93025.5,93016.75,92991.34762,93083.35133,93218.76994,37
2020.06.12 06:20,93011,93029,92966,93029,1,92997.5,93019.1,92988.75238,93088.00377,93221.24701,63
2020.06.12 06:15,93023,93034,92996,93013,-1,93015,93022.75,92986.79286,93092.79662,93223.73015,38
2020.06.12 06:10,92990,93047,92968,93023,1,93007.5,93032.4,92985.12381,93097.73898,93226.21634,79
2020.06.12 06:05,93006,93014,92977,92990,-1,92995.5,93041.1,92983.7381,93102.84585,93228.70154,37
2020.06.12 06:00,93008,93023,92961,93006,-1,92992,93047.1,92982.40476,93108.1294,93231.18074,62
2020.06.12 05:55,93040,93044,92941,93010,-1,92992.5,93050.05,92981.38095,93113.59363,93233.64818,103
2020.06.12 05:50,93042,93061,93037,93040,-1,93049,93045.45,92981.15952,93119.23151,93236.09762,24
2020.06.12 05:45,93038,93069,93029,93042,1,93049,93042.2,92981.48095,93125.04568,93238.52223,40
2020.06.12 05:40,93008,93055,93008,93038,1,93031.5,93034.1,92982.44762,93131.03339,93240.91499,47
2020.06.12 05:35,93049,93068,93008,93008,-1,93038,93020.7,92984.3381,93137.17702,93243.26902,60
2020.06.12 05:30,93035,93054,92988,93049,1,93021,93009.35,92987.06429,93143.45753,93245.57774,66
2020.06.12 05:25,93081,93082,93021,93035,-1,93051.5,92992.3,92991.21667,93149.83588,93247.83499,61
2020.06.12 05:20,93103,93136,93072,93081,-1,93104,92972.4,92996.84524,93156.26013,93250.03532,64
2020.06.12 05:15,93073,93105,93060,93103,1,93082.5,92957.1,93003.65476,93162.66844,93252.17416,45
2020.06.12 05:10,93054,93088,93016,93073,1,93052,92945.8,93011.98095,93168.99324,93254.24786,72
2020.06.12 05:05,93014,93054,92990,93054,1,93022,92938.9,93021.48095,93175.17187,93256.25348,64
2020.06.12 05:00,93029,93032,92974,93014,-1,93003,92931.05,93032.1381,93181.13776,93258.18862,58
2020.06.12 04:55,92997,93061,92972,93029,1,93016.5,92920.25,93044.15,93186.82403,93260.05151,89
2020.06.12 04:50,92905,92997,92904,92997,1,92950.5,92920.55,93056.88571,93192.18394,93261.84087,93
2020.06.12 04:45,92921,92921,92887,92905,-1,92904,92931.25,93069.80714,93197.19037,93263.55566,34
2020.06.12 04:40,92895,92925,92890,92921,1,92907.5,92944.4,93082.52619,93201.8268,93265.19522,35
2020.06.12 04:35,92895,92900,92862,92893,-1,92881,92964.6,93094.44762,93206.09967,93266.75919,38
2020.06.12 04:30,92935,92939,92871,92893,-1,92905,92981.6,93105.61905,93210.018,93268.24759,68
2020.06.12 04:25,92944,92950,92909,92933,-1,92929.5,92997.35,93116.04524,93213.59169,93269.66082,41
2020.06.12 04:20,92962,92966,92912,92943,-1,92939,93012,93125.48571,93216.83306,93270.9998,54
2020.06.12 04:15,92928,92981,92925,92962,1,92953,93019.1,93134.32619,93219.75138,93272.26591,56
2020.06.12 04:10,92888,92961,92888,92928,1,92924.5,93028.55,93142.31667,93222.36296,93273.46086,73
2020.06.12 04:05,92935,92937,92880,92887,-1,92908.5,93040.8,93149.2,93224.68743,93274.58661,57
2020.06.12 04:00,92961,92988,92919,92935,-1,92953.5,93048.95,93155.07857,93226.7443,93275.64529,69
2020.06.12 03:55,93020,93054,92968,92969,-1,93011,93054.4,93160.01905,93228.55338,93276.63918,86
2020.06.12 03:50,93067,93069,93009,93020,-1,93039,93060.4,93164.0619,93230.13649,93277.57048,60
2020.06.12 03:45,93079,93098,93068,93069,-1,93083,93066.6,93167.30952,93231.52625,93278.44106,30
2020.06.12 03:40,93096,93096,93054,93081,-1,93075,93079.5,93169.46905,93232.76589,93279.25238,42
2020.06.12 03:35,93087,93111,93063,93096,1,93087,93090.6,93171.03333,93233.88992,93280.00548,48
2020.06.12 03:30,93019,93153,93018,93090,1,93085.5,93100.1,93172.35238,93234.93001,93280.70104,135
2020.06.12 03:25,93035,93059,92989,93019,-1,93024,93120.65,93173.18571,93235.9206,93281.3394,70
2020.06.12 03:20,93004,93043,92995,93035,1,93019,93138.4,93173.90476,93236.89109,93281.92086,48
2020.06.12 03:15,93060,93062,93000,93004,-1,93031,93154.85,93174.83095,93237.86506,93282.4459,62
2020.06.12 03:10,93035,93063,93007,93063,1,93035,93172.5,93176.04762,93238.85255,93282.91516,56
2020.06.12 03:05,93088,93111,93020,93035,-1,93065.5,93188,93177.6619,93239.85764,93283.3294,91
2020.06.12 03:00,93124,93152,93046,93085,-1,93099,93202.6,93179.56667,93240.87752,93283.68977,106
2020.06.12 02:55,93203,93203,93087,93126,-1,93145,93211.5,93181.80952,93241.8902,93283.99823,116
2020.06.12 02:50,93191,93220,93188,93207,1,93204,93214.95,93184.96667,93242.85803,93284.2576,32
2020.06.12 02:45,93193,93217,93179,93196,1,93198,93216.2,93188.80714,93243.75886,93284.47139,38
2020.06.12 02:40,93191,93201,93160,93193,1,93180.5,93216.3,93192.88571,93244.57558,93284.64391,41
2020.06.12 02:35,93217,93269,93190,93190,-1,93229.5,93210.25,93197.64524,93245.27913,93284.78033,79
2020.06.12 02:30,93178,93222,93171,93217,1,93196.5,93204.75,93203.33333,93245.84258,93284.88672,51
2020.06.12 02:25,93200,93225,93166,93178,-1,93195.5,93196.35,93209.59762,93246.25011,93284.96978,59
2020.06.12 02:20,93231,93240,93183,93200,-1,93211.5,93185.35,93216.34286,93246.49596,93285.03678,57
2020.06.12 02:15,93254,93257,93184,93231,-1,93220.5,93172.4,93223.5881,93246.57137,93285.09556,73
2020.06.12 02:10,93231,93265,93225,93254,1,93245,93158.15,93231.49048,93246.47027,93285.15429,40
2020.06.12 02:05,93223,93258,93210,93231,1,93234,93145.3,93239.91905,93246.19457,93285.22131,48
2020.06.12 02:00,93244,93269,93208,93223,-1,93238.5,93134.8,93248.51429,93245.74491,93285.30509,61
2020.06.12 01:55,93190,93242,93179,93242,1,93210.5,93124.85,93257.12619,93245.11894,93285.41428,63
2020.06.12 01:50,93178,93199,93164,93190,1,93181.5,93123.45,93265.48571,93244.32386,93285.55744,35
2020.06.12 01:45,93133,93205,93133,93178,1,93169,93127.8,93273.0881,93243.38538,93285.74278,72
2020.06.12 01:40,93135,93165,93118,93129,-1,93141.5,93138.15,93279.2119,93242.33577,93285.97801,47
2020.06.12 01:35,93077,93146,93077,93132,1,93111.5,93153.5,93283.94762,93241.19806,93286.27038,69
2020.06.12 01:30,93085,93138,93065,93093,1,93101.5,93174.3,93287.1619,93240.00255,93286.62656,73
2020.06.12 01:25,93091,93113,93069,93085,-1,93091,93198.05,93288.67143,93238.78959,93287.05276,44
2020.06.12 01:20,93092,93126,93079,93096,1,93102.5,93221.9,93288.65952,93237.59884,93287.55455,47
2020.06.12 01:15,93141,93155,93056,93092,-1,93105.5,93242.6,93287.3619,93236.47458,93288.13654,99
