UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,64492,64492,64464,64481,-1,64478,64437.4,64417.99048,64413.40498,64551.86343,28
2020.06.12 06:35,64463,64493,64456,64492,1,64474.5,64436.75,64411.2381,64415.44585,64554.00921,37
2020.06.12 06:30,64456,64481,64444,64463,1,64462.5,64436.6,64404.53571,64417.69629,64556.17515,37
2020.06.12 06:25,64445,64469,64425,64464,1,64447,64439.35,64397.75238,64420.17458,64558.36348,44
2020.06.12 06:20,64409,64445,64384,64445,1,64414.5,64443.55,64390.9381,64422.89779,64560.57599,61
2020.06.12 06:15,64427,64451,64398,64409,-1,64424.5,64448.9,64384.23095,64425.88023,64562.81398,53
2020.06.12 06:10,64427,64457,64396,64427,0,64426.5,64459.1,64377.35238,64429.14158,64565.07809,61
2020.06.12 06:05,64424,64433,64402,64425,1,64417.5,64470.55,64370.38571,64432.7021,64567.36818,31
2020.06.12 06:00,64432,64446,64398,64423,-1,64422,64477,64363.43095,64436.57553,64569.68351,48
2020.06.12 05:55,64468,64468,64369,64433,-1,64418.5,64480.2,64356.66429,64440.77519,64572.02286,99
2020.06.12 05:50,64460,64477,64456,64468,1,64466.5,64474.1,64350.53095,64445.30083,64574.38495,21
2020.06.12 05:45,64450,64486,64450,64457,1,64468,64465.55,64345.24762,64450.15061,64576.76844,36
2020.06.12 05:40,64452,64481,64441,64445,-1,64461,64453.15,64341.00476,64455.32359,64579.17213,40
2020.06.12 05:35,64474,64499,64450,64452,-1,64474.5,64435.15,64338.17857,64460.79502,64581.59522,49
2020.06.12 05:30,64451,64481,64432,64474,1,64456.5,64421.75,64336.70238,64466.53295,64584.03736,49
2020.06.12 05:25,64504,64505,64451,64457,-1,64478,64404.9,64336.87143,64472.48566,64586.49879,54
2020.06.12 05:20,64535,64565,64492,64504,-1,64528.5,64381.7,64338.8619,64478.59452,64588.98059,73
2020.06.12 05:15,64530,64547,64517,64535,1,64532,64360.7,64342.56429,64484.79319,64591.48484,30
2020.06.12 05:10,64474,64529,64444,64527,1,64486.5,64342.75,64347.99524,64491.01207,64594.01465,85
2020.06.12 05:05,64438,64480,64421,64474,1,64450.5,64328.5,64354.90476,64497.18311,64596.57405,59
2020.06.12 05:00,64403,64444,64367,64438,1,64405.5,64315.3,64363.29048,64503.24258,64599.16765,77
2020.06.12 04:55,64385,64416,64349,64403,1,64382.5,64302.25,64373.01429,64509.13477,64601.80052,67
2020.06.12 04:50,64289,64385,64289,64385,1,64337,64294.95,64383.59524,64514.81423,64604.47795,96
2020.06.12 04:45,64312,64312,64277,64289,-1,64294.5,64295.85,64394.59286,64520.25443,64607.20532,35
2020.06.12 04:40,64329,64350,64295,64312,-1,64322.5,64296.9,64405.7619,64525.42564,64609.98817,55
