UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,7307000,7307300,7304100,7306000,-1,7305700,7291455,7285802.143,7284267.586,7311017.977,3200
2020.06.12 06:35,7301300,7310400,7301300,7307000,1,7305850,7290500,7284591.429,7284570.371,7311600.46,9100
2020.06.12 06:30,7293100,7301200,7291000,7301000,1,7296100,7290445,7283383.571,7284910.759,7312188.664,10200
2020.06.12 06:25,7290100,7294100,7287700,7293300,1,7290900,7291150,7282139.286,7285291.91,7312782.389,6400
2020.06.12 06:20,7286000,7290100,7282900,7290100,1,7286500,7292015,7280861.667,7285716.55,7313381.381,7200
2020.06.12 06:15,7287500,7290700,7283700,7286000,-1,7287200,7292615,7279586.667,7286186.584,7313985.327,7000
2020.06.12 06:10,7286800,7291000,7282300,7287500,1,7286650,7293995,7278285,7286705.21,7314593.827,8700
2020.06.12 06:05,7287500,7288800,7284700,7286800,-1,7286750,7295295,7277005,7287274.496,7315206.402,4100
2020.06.12 06:00,7289200,7293300,7284700,7287500,-1,7289000,7295820,7275759.524,7287896.069,7315822.5,8600
2020.06.12 05:55,7295900,7295900,7284000,7289300,-1,7289950,7295725,7274589.048,7288570.15,7316441.54,11900
2020.06.12 05:50,7294400,7297500,7293800,7295800,1,7295650,7294435,7273548.095,7289295.244,7317062.96,3700
2020.06.12 05:45,7293600,7299100,7293500,7294400,1,7296300,7293025,7272667.857,7290069.203,7317686.223,5600
2020.06.12 05:40,7294400,7298100,7293000,7293700,-1,7295550,7290585,7272004.762,7290888.666,7318310.837,5100
2020.06.12 05:35,7299200,7302100,7293800,7294500,-1,7297950,7287185,7271628.81,7291748.333,7318936.378,8300
2020.06.12 05:30,7294300,7299700,7290600,7299200,1,7295150,7284365,7271534.286,7292642.204,7319562.501,9100
2020.06.12 05:25,7296000,7296200,7290200,7294300,-1,7293200,7281750,7271717.381,7293563.056,7320188.949,6000
2020.06.12 05:20,7302200,7306500,7294400,7296000,-1,7300450,7278455,7272182.381,7294502.47,7320815.578,12100
2020.06.12 05:15,7299800,7302500,7297000,7302200,1,7299750,7275530,7272889.286,7295451.523,7321442.375,5500
2020.06.12 05:10,7291800,7299800,7288700,7299700,1,7294250,7272805,7273846.19,7296400.443,7322069.475,11100
2020.06.12 05:05,7286200,7293400,7284600,7291800,1,7289000,7270835,7275003.571,7297340.631,7322697.131,8800
2020.06.12 05:00,7286300,7286900,7278600,7286200,-1,7282750,7268870,7276381.19,7298262.935,7323325.684,8300
2020.06.12 04:55,7279300,7288600,7275800,7286400,1,7282200,7266445,7277974.048,7299159.302,7323955.544,12800
2020.06.12 04:50,7263100,7279200,7263100,7279200,1,7271150,7265075,7279682.381,7300023.942,7324587.161,16100
2020.06.12 04:45,7265200,7265900,7262000,7263100,-1,7263950,7265080,7281439.524,7300853.112,7325221.003,3900
2020.06.12 04:40,7269500,7271500,7262400,7265400,-1,7266950,7265020,7283220.714,7301643.638,7325857.567,9100
2020.06.12 04:35,7266400,7270300,7263800,7269600,1,7267050,7265185,7284995,7302393.904,7326497.378,6500
2020.06.12 04:30,7271300,7271900,7263100,7265900,-1,7267500,7265840,7286718.81,7303103.765,7327140.985,8800
2020.06.12 04:25,7268500,7273000,7268000,7271000,1,7270500,7266660,7288347.381,7303774.236,7327788.925,5000
2020.06.12 04:20,7269100,7270800,7263200,7268700,-1,7267000,7268415,7289825.238,7304408.25,7328441.706,7600
2020.06.12 04:15,7265700,7272900,7265700,7269200,1,7269300,7269665,7291184.762,7305008.267,7329099.803,7200
2020.06.12 04:10,7258000,7268200,7258000,7265500,1,7263100,7271145,7292399.762,7305577.591,7329763.644,10200
2020.06.12 04:05,7256000,7261600,7254300,7258000,1,7257950,7272575,7293469.286,7306119.496,7330433.612,7300
2020.06.12 04:00,7259300,7262300,7252600,7256000,-1,7257450,7274540,7294380.238,7306638.045,7331110.036,9700
2020.06.12 03:55,7264400,7268200,7259800,7259800,-1,7264000,7276660,7295128.333,7307137.237,7331793.197,8400
2020.06.12 03:50,7265400,7270900,7261800,7264500,-1,7266350,7279290,7295698.095,7307621.55,7332483.313,9100
2020.06.12 03:45,7272000,7272000,7265400,7265400,-1,7268700,7282380,7296072.619,7308096.966,7333180.505,6600
2020.06.12 03:40,7279400,7280000,7268100,7272000,-1,7274050,7285595,7296268.333,7308569.402,7333884.798,11900
2020.06.12 03:35,7282200,7283300,7274100,7279700,-1,7278700,7288220,7296385.238,7309042.846,7334596.154,9200
