UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,106502,106503,106489,106499,-1,106496,106462.55,106380.6119,106432.62,106554.1527,14
2020.06.12 06:35,106520,106549,106498,106502,-1,106523.5,106453.6,106375.481,106435.4282,106556.1405,51
2020.06.12 06:30,106498,106522,106484,106522,1,106503,106443.1,106371.3119,106438.3256,106558.0804,38
2020.06.12 06:25,106480,106503,106469,106497,1,106486,106433.7,106367.969,106441.3019,106559.9705,34
2020.06.12 06:20,106466,106487,106450,106480,1,106468.5,106423.7,106365.6214,106444.3475,106561.8091,37
2020.06.12 06:15,106462,106492,106458,106466,1,106475,106413.1,106364.1381,106447.4574,106563.5944,34
2020.06.12 06:10,106403,106470,106397,106462,1,106433.5,106408.4,106363.0405,106450.6331,106565.3249,73
2020.06.12 06:05,106438,106448,106403,106403,-1,106425.5,106403.6,106362.2333,106453.8806,106566.9986,45
2020.06.12 06:00,106434,106449,106418,106439,1,106433.5,106396.95,106361.8095,106457.2019,106568.6135,31
2020.06.12 05:55,106460,106460,106384,106433,-1,106422,106389.85,106361.9286,106460.5988,106570.1676,76
2020.06.12 05:50,106438,106472,106438,106460,1,106455,106378.7,106363.1048,106464.0557,106571.6592,34
2020.06.12 05:45,106401,106469,106399,106438,1,106434,106371.3,106365.0619,106467.5634,106573.0866,70
2020.06.12 05:40,106389,106410,106386,106400,1,106398,106364.9,106367.6452,106471.1128,106574.4487,24
2020.06.12 05:35,106391,106401,106383,106388,-1,106392,106355.9,106371.0119,106474.694,106575.745,18
2020.06.12 05:30,106351,106395,106342,106391,1,106368.5,106352.05,106375,106478.2982,106576.9752,53
2020.06.12 05:25,106387,106389,106349,106352,-1,106369,106345.45,106379.8714,106481.9115,106578.1396,40
2020.06.12 05:20,106390,106406,106367,106387,-1,106386.5,106340.75,106385.581,106485.523,106579.2389,39
2020.06.12 05:15,106365,106392,106363,106390,1,106377.5,106341.25,106392.0286,106489.1097,106580.2743,29
2020.06.12 05:10,106369,106397,106337,106365,-1,106367,106343.4,106399.2238,106492.6447,106581.2474,60
2020.06.12 05:05,106343,106370,106332,106369,1,106351,106345.05,106407.0214,106496.0991,106582.1607,38
2020.06.12 05:00,106362,106362,106325,106342,-1,106343.5,106345.55,106415.2167,106499.4481,106583.0165,37
2020.06.12 04:55,106358,106385,106335,106360,1,106360,106342.55,106424.0262,106502.664,106583.8179,50
2020.06.12 04:50,106309,106359,106309,106357,1,106334,106345.85,106433.0476,106505.7359,106584.5677,50
2020.06.12 04:45,106313,106316,106288,106309,-1,106302,106355.55,106441.9119,106508.6652,106585.2688,28
2020.06.12 04:40,106307,106355,106305,106313,1,106330,106363.5,106450.5167,106511.4589,106585.9243,50
2020.06.12 04:35,106306,106319,106287,106305,-1,106303,106374.4,106458.5214,106514.1347,106586.5369,32
2020.06.12 04:30,106371,106373,106306,106306,-1,106339.5,106381.95,106465.8833,106516.7106,106587.1096,67
2020.06.12 04:25,106400,106401,106364,106371,-1,106382.5,106385.35,106472.65,106519.2102,106587.6453,37
2020.06.12 04:20,106384,106403,106374,106400,1,106388.5,106386.65,106478.85,106521.6547,106588.1466,29
2020.06.12 04:15,106355,106394,106341,106384,1,106367.5,106388.05,106484.531,106524.0709,106588.6166,53
2020.06.12 04:10,106329,106368,106329,106356,1,106348.5,106392.35,106489.4738,106526.4871,106589.0578,39
2020.06.12 04:05,106346,106348,106312,106328,-1,106330,106403.4,106493.2929,106528.9367,106589.4728,36
2020.06.12 04:00,106386,106403,106331,106346,-1,106367,106412.4,106496.2619,106531.4408,106589.864,72
2020.06.12 03:55,106394,106430,106368,106390,-1,106399,106419.15,106498.5381,106534.0137,106590.2335,62
2020.06.12 03:50,106417,106429,106390,106394,-1,106409.5,106426.6,106500.3214,106536.6589,106590.5835,39
2020.06.12 03:45,106393,106437,106387,106417,1,106412,106435.8,106501.5857,106539.3835,106590.916,50
2020.06.12 03:40,106438,106438,106392,106393,-1,106415,106447.75,106502.2524,106542.1946,106591.2328,46
2020.06.12 03:35,106404,106443,106390,106438,1,106416.5,106460.65,106502.3643,106545.0954,106591.5355,53
2020.06.12 03:30,106372,106445,106358,106405,1,106401.5,106476.65,106501.7595,106548.0979,106591.8255,87
2020.06.12 03:25,106386,106408,106355,106373,-1,106381.5,106494.5,106500.6381,106551.2004,106592.1039,53
2020.06.12 03:20,106415,106416,106367,106386,-1,106391.5,106508.8,106499.4,106554.3945,106592.3721,49
2020.06.12 03:15,106446,106467,106414,106417,-1,106440.5,106517.65,106498.3571,106557.6675,106592.6314,53
2020.06.12 03:10,106455,106481,106433,106446,-1,106457,106527.55,106497.4143,106561.0086,106592.8834,48
2020.06.12 03:05,106483,106490,106443,106456,-1,106466.5,106535.3,106496.7619,106564.3998,106593.1299,47
2020.06.12 03:00,106487,106511,106457,106483,-1,106484,106541.7,106496.2333,106567.8262,106593.3727,54
2020.06.12 02:55,106524,106530,106478,106489,-1,106504,106544.2,106495.9,106571.2647,106593.6143,52
2020.06.12 02:50,106534,106546,106523,106525,-1,106534.5,106542.5,106495.95,106574.6889,106593.8573,23
2020.06.12 02:45,106553,106553,106538,106545,-1,106545.5,106536.55,106496.5833,106578.0713,106594.1048,15
2020.06.12 02:40,106561,106574,106549,106553,-1,106561.5,106527.45,106497.8643,106581.3822,106594.3603,25
2020.06.12 02:35,106540,106580,106540,106561,1,106560,106516.85,106499.5929,106584.5997,106594.6274,40
2020.06.12 02:30,106530,106555,106514,106540,1,106534.5,106507.35,106501.8762,106587.6998,106594.9103,41
2020.06.12 02:25,106538,106550,106508,106530,-1,106529,106496.15,106504.6286,106590.6601,106595.2132,42
2020.06.12 02:20,106563,106574,106538,106540,-1,106556,106483.6,106507.9952,106593.46,106595.5406,36
2020.06.12 02:15,106553,106563,106525,106563,1,106544,106474.75,106511.75,106596.0897,106595.8972,38
2020.06.12 02:10,106546,106565,106531,106553,1,106548,106466.95,106515.8929,106598.5404,106596.2871,34
2020.06.12 02:05,106509,106554,106504,106546,1,106529,106464.05,106520.269,106600.8083,106596.7145,50
2020.06.12 02:00,106501,106543,106492,106509,1,106517.5,106462.35,106525.0048,106602.8807,106597.183,51
2020.06.12 01:55,106479,106501,106471,106501,1,106486,106461.75,106529.9786,106604.7503,106597.6962,30
2020.06.12 01:50,106471,106480,106461,106479,1,106470.5,106463,106535.2429,106606.4112,106598.2574,19
2020.06.12 01:45,106435,106474,106434,106471,1,106454,106463.95,106540.8762,106607.8578,106598.8696,40
2020.06.12 01:40,106424,106462,106417,106453,1,106439.5,106470.95,106546.2571,106609.1044,106599.5353,45
2020.06.12 01:35,106408,106432,106402,106424,1,106417,106482.8,106551.231,106610.1761,106600.256,30
2020.06.12 01:30,106424,106461,106400,106408,-1,106430.5,106495.75,106555.5595,106611.1008,106601.0329,61
2020.06.12 01:25,106486,106486,106425,106425,-1,106455.5,106507.75,106559.2238,106611.9027,106601.8662,61
2020.06.12 01:20,106460,106489,106451,106486,1,106470,106521.6,106562.3071,106612.6046,106602.7562,38
2020.06.12 01:15,106533,106543,106457,106460,-1,106500,106530.6,106565.1429,106613.2239,106603.7025,86
2020.06.12 01:10,106479,106533,106468,106533,1,106500.5,106537.2,106567.869,106613.7803,106604.7044,65
2020.06.12 01:05,106486,106521,106439,106480,-1,106480,106543.55,106570.6476,106614.2838,106605.7609,82
2020.06.12 01:00,106498,106524,106442,106485,-1,106483,106549.85,106573.581,106614.7404,106606.8705,82
2020.06.12 00:55,106519,106519,106408,106492,-1,106463.5,106554.35,106576.6452,106615.1578,106608.0315,111
2020.06.12 00:50,106502,106548,106471,106519,1,106509.5,106553.15,106580.1333,106615.5334,106609.242,77
2020.06.12 00:45,106575,106576,106495,106502,-1,106535.5,106555.3,106583.9619,106615.8598,106610.5002,81
2020.06.12 00:40,106561,106575,106545,106575,1,106560,106553.95,106588.4286,106616.1245,106611.804,30
2020.06.12 00:35,106604,106604,106547,106561,-1,106575.5,106554.3,106593.3714,106616.3165,106613.1514,57
2020.06.12 00:30,106614,106616,106601,106601,-1,106608.5,106553.6,106598.6238,106616.429,106614.5402,15
2020.06.12 00:25,106585,106634,106546,106614,1,106590,106553.95,106603.9405,106616.4573,106615.9683,88
2020.06.12 00:20,106548,106622,106511,106585,1,106566.5,106555.95,106609.1714,106616.3979,106617.4334,111
2020.06.12 00:15,106548,106577,106510,106531,-1,106543.5,106561.8,106614.0643,106616.2553,106618.9335,67
2020.06.12 00:10,106545,106616,106476,106548,1,106546,106566.2,106618.7452,106616.0244,106620.4664,140
2020.06.12 00:05,106417,106621,106396,106545,1,106508.5,106573.55,106623.131,106615.7012,106622.0302,225
2020.06.12 00:00,106535,106594,106401,106417,-1,106497.5,106582.25,106627.0976,106615.2848,106623.623,193
2020.06.11 23:55,106562,106587,106527,106535,-1,106557,106583.95,106630.8667,106614.7685,106625.2431,60
2020.06.11 23:50,106561,106572,106521,106562,1,106546.5,106587.25,106634.0452,106614.1518,106626.8891,51
2020.06.11 23:45,106597,106598,106560,106566,-1,106579,106586.65,106636.7452,106613.4362,106628.5598,38
2020.06.11 23:40,106592,106617,106586,106615,1,106601.5,106584.7,106639.0976,106612.618,106630.2538,31
2020.06.11 23:35,106592,106606,106581,106592,0,106593.5,106586.35,106641.0833,106611.6962,106631.9701,25
2020.06.11 23:30,106587,106595,106578,106592,1,106586.5,106590.15,106642.581,106610.6776,106633.7074,17
2020.06.11 23:25,106602,106627,106577,106587,-1,106602,106594.45,106643.5714,106609.5654,106635.4647,50
2020.06.11 23:20,106588,106602,106578,106602,1,106590,106601.9,106643.7524,106608.3705,106637.2408,24
2020.06.11 23:15,106584,106590,106574,106588,1,106582,106611.45,106643.1929,106607.0954,106639.0344,16
2020.06.11 23:10,106576,106593,106576,106584,1,106584.5,106618.7,106642.0238,106605.7393,106640.8445,17
2020.06.11 23:05,106572,106583,106565,106576,1,106574,106626.4,106640.2333,106604.303,106642.6701,18
2020.06.11 23:00,106573,106592,106567,106568,-1,106579.5,106635.7,106637.9452,106602.7858,106644.5102,25
2020.06.11 22:55,106566,106590,106556,106571,1,106573,106647.75,106635.1833,106601.1824,106646.3639,34
