UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,68294,68294,68269,68286,-1,68281.5,68237.4,68213.92619,68224.36274,68449.60597,25
2020.06.12 06:35,68274,68303,68264,68294,1,68283.5,68238.3,68205.62143,68227.52481,68455.22014,39
2020.06.12 06:30,68245,68274,68227,68273,1,68250.5,68241.85,68197.28333,68230.96334,68460.91798,47
2020.06.12 06:25,68230,68254,68211,68247,1,68232.5,68248.6,68188.80238,68234.70183,68466.69823,43
2020.06.12 06:20,68206,68230,68171,68230,1,68200.5,68256.25,68180.37143,68238.75255,68472.55918,59
2020.06.12 06:15,68236,68254,68195,68206,-1,68224.5,68262.15,68172.30238,68243.1165,68478.49856,59
2020.06.12 06:10,68217,68260,68187,68236,1,68223.5,68273.9,68164.27619,68247.80559,68484.51328,73
2020.06.12 06:05,68213,68227,68194,68217,1,68210.5,68285.75,68156.45,68252.832,68490.59931,33
2020.06.12 06:00,68223,68250,68186,68213,-1,68218,68291.8,68148.82857,68258.20476,68496.75175,64
2020.06.12 05:55,68292,68292,68182,68225,-1,68237,68291.7,68141.76905,68263.92331,68502.96509,110
2020.06.12 05:50,68283,68306,68281,68291,1,68293.5,68280.65,68135.74048,68269.97342,68509.23367,25
2020.06.12 05:45,68274,68313,68272,68283,1,68292.5,68269,68130.70238,68276.34247,68515.55155,41
2020.06.12 05:40,68273,68304,68268,68274,1,68286,68251.55,68127.02381,68283.00986,68521.91284,36
2020.06.12 05:35,68305,68332,68268,68271,-1,68300,68227.75,68125.10952,68289.94457,68528.31188,64
2020.06.12 05:30,68277,68313,68241,68306,1,68277,68209.2,68124.8381,68297.11512,68534.74323,72
2020.06.12 05:25,68313,68314,68253,68278,-1,68283.5,68189.35,68126.41429,68304.47453,68541.20194,61
2020.06.12 05:20,68347,68379,68303,68313,-1,68341,68162.05,68130.12619,68311.95759,68547.68389,76
2020.06.12 05:15,68322,68351,68307,68348,1,68329,68137.65,68135.8,68319.48738,68554.18601,44
2020.06.12 05:10,68255,68323,68234,68323,1,68278.5,68116.7,68143.57857,68326.98134,68560.70635,89
2020.06.12 05:05,68213,68264,68208,68257,1,68236,68101.5,68153.09286,68334.36528,68567.24381,56
2020.06.12 05:00,68202,68217,68149,68213,1,68183,68086.4,68164.36429,68341.56628,68573.79778,68
2020.06.12 04:55,68165,68220,68132,68202,1,68176,68070.35,68177.37857,68348.52027,68580.36814,88
2020.06.12 04:50,68057,68166,68057,68166,1,68111.5,68063.9,68191.34762,68355.18095,68586.95495,109
2020.06.12 04:45,68077,68077,68047,68057,-1,68062,68066.75,68205.76905,68361.51573,68593.55846,30
2020.06.12 04:40,68103,68127,68056,68078,-1,68091.5,68070.5,68220.24762,68367.49967,68600.17921,71
2020.06.12 04:35,68083,68109,68061,68103,1,68085,68079.2,68234.36905,68373.1268,68606.81793,48
