UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,69290,69293,69279,69286,-1,69286,69268.05,69255.18333,69201.46301,69242.59187,14
2020.06.12 06:35,69278,69293,69274,69290,1,69283.5,69267.15,69251.30476,69200.63821,69243.04865,19
2020.06.12 06:30,69280,69299,69262,69278,-1,69280.5,69266.65,69247.14286,69199.9345,69243.51808,37
2020.06.12 06:25,69266,69297,69256,69282,1,69276.5,69267.9,69242.49524,69199.36118,69244.00308,41
2020.06.12 06:20,69243,69270,69235,69266,1,69252.5,69270.65,69237.24048,69198.93272,69244.50659,35
2020.06.12 06:15,69255,69275,69239,69242,-1,69257,69272.95,69231.62381,69198.66262,69245.03158,36
2020.06.12 06:10,69272,69272,69251,69255,-1,69261.5,69276.85,69225.63095,69198.55819,69245.58111,21
2020.06.12 06:05,69263,69275,69252,69272,1,69263.5,69282.25,69219.35714,69198.62863,69246.15823,23
2020.06.12 06:00,69267,69284,69255,69264,-1,69269.5,69285.35,69212.99524,69198.88106,69246.76603,29
2020.06.12 05:55,69278,69278,69248,69267,-1,69263,69286.7,69206.56429,69199.32602,69247.40764,30
2020.06.12 05:50,69266,69283,69263,69277,1,69273,69283.9,69200.19762,69199.96872,69248.08651,20
2020.06.12 05:45,69263,69286,69263,69266,1,69274.5,69277.75,69194.27381,69200.80365,69248.80644,23
2020.06.12 05:40,69286,69293,69258,69262,-1,69275.5,69270.8,69188.99048,69201.83029,69249.57159,35
2020.06.12 05:35,69281,69300,69278,69286,1,69289,69260.95,69184.5881,69203.03649,69250.38646,22
2020.06.12 05:30,69270,69297,69263,69279,1,69280,69255.05,69180.95952,69204.40692,69251.25579,34
2020.06.12 05:25,69292,69292,69268,69272,-1,69280,69249.45,69178.02857,69205.92148,69252.18463,24
2020.06.12 05:20,69312,69323,69278,69292,-1,69300.5,69239.75,69175.90238,69207.56196,69253.17826,45
2020.06.12 05:15,69328,69330,69305,69312,-1,69317.5,69228.7,69174.69762,69209.30111,69254.24242,25
2020.06.12 05:10,69277,69331,69270,69331,1,69300.5,69216.85,69174.29762,69211.11279,69255.38332,61
2020.06.12 05:05,69272,69293,69260,69279,1,69276.5,69207,69174.58095,69212.97326,69256.60756,33
2020.06.12 05:00,69224,69272,69218,69272,1,69245,69199.35,69175.58095,69214.86473,69257.92194,54
2020.06.12 04:55,69222,69226,69200,69224,1,69213,69192.85,69176.99286,69216.77746,69259.33331,26
2020.06.12 04:50,69189,69224,69188,69222,1,69206,69185.7,69178.70952,69218.70055,69260.84837,36
2020.06.12 04:45,69201,69202,69179,69190,-1,69190.5,69179.25,69180.68333,69220.62841,69262.47365,23
2020.06.12 04:40,69241,69246,69196,69207,-1,69221,69170.3,69183.05476,69222.54435,69264.21557,50
2020.06.12 04:35,69221,69240,69208,69238,1,69224,69160.3,69185.88333,69224.43079,69266.08036,32
2020.06.12 04:30,69207,69225,69182,69219,1,69203.5,69155,69188.83571,69226.27901,69268.07383,43
2020.06.12 04:25,69195,69220,69194,69208,1,69207,69151,69191.67381,69228.09208,69270.20117,26
2020.06.12 04:20,69166,69200,69164,69195,1,69182,69150.5,69194.39048,69229.87065,69272.46695,36
2020.06.12 04:15,69175,69193,69163,69169,-1,69178,69151.75,69196.95952,69231.61855,69274.875,30
2020.06.12 04:10,69156,69184,69153,69176,1,69168.5,69151.65,69199.34286,69233.33765,69277.42846,31
2020.06.12 04:05,69134,69169,69127,69154,1,69148,69150.2,69201.60476,69235.0309,69280.12975,42
2020.06.12 04:00,69130,69150,69119,69133,1,69134.5,69153.35,69203.62143,69236.70338,69282.98062,31
2020.06.12 03:55,69124,69141,69111,69134,1,69126,69159.85,69205.33095,69238.3541,69285.9822,30
2020.06.12 03:50,69112,69153,69110,69122,1,69131.5,69168.5,69206.60714,69239.98826,69289.13504,43
2020.06.12 03:45,69135,69135,69113,69113,-1,69124,69178.85,69207.40714,69241.61412,69292.43914,22
2020.06.12 03:40,69181,69186,69115,69135,-1,69150.5,69187.9,69207.9381,69243.23538,69295.89397,71
2020.06.12 03:35,69173,69184,69150,69181,1,69167,69195.1,69208.52143,69244.84341,69299.49866,34
2020.06.12 03:30,69197,69197,69157,69170,-1,69177,69203.4,69209.05714,69246.43439,69303.25193,40
2020.06.12 03:25,69182,69210,69171,69198,1,69190.5,69208.45,69209.75238,69247.99784,69307.15216,39
2020.06.12 03:20,69141,69194,69141,69182,1,69167.5,69212.95,69210.7119,69249.51816,69311.19754,53
2020.06.12 03:15,69139,69150,69117,69143,1,69133.5,69220.35,69211.85238,69250.98178,69315.38601,33
2020.06.12 03:10,69186,69196,69136,69139,-1,69166,69222.5,69213.09524,69252.383,69319.71531,60
2020.06.12 03:05,69209,69209,69173,69186,-1,69191,69221.75,69214.43095,69253.72984,69324.1829,36
2020.06.12 03:00,69217,69245,69191,69214,-1,69218,69220.7,69215.8381,69255.04241,69328.78581,54
2020.06.12 02:55,69243,69250,69205,69215,-1,69227.5,69220.1,69216.88333,69256.35127,69333.52051,45
2020.06.12 02:50,69231,69251,69231,69243,1,69241,69219.7,69217.84286,69257.68062,69338.38298,20
2020.06.12 02:45,69249,69249,69229,69237,-1,69239,69217,69218.81667,69259.04623,69343.36884,20
2020.06.12 02:40,69262,69272,69248,69249,-1,69260,69210.6,69220.00952,69260.45725,69348.4734,24
2020.06.12 02:35,69227,69261,69221,69258,1,69241,69207.55,69221.14048,69261.92265,69353.69171,40
2020.06.12 02:30,69198,69228,69197,69227,1,69212.5,69205.7,69222.38571,69263.44341,69359.0188,31
2020.06.12 02:25,69201,69219,69196,69200,-1,69207.5,69201.7,69223.85,69265.01484,69364.44981,23
2020.06.12 02:20,69184,69202,69173,69201,1,69187.5,69197.7,69225.69762,69266.61966,69369.98002,29
2020.06.12 02:15,69200,69201,69166,69184,-1,69183.5,69195.7,69227.83333,69268.2361,69375.60479,35
2020.06.12 02:10,69204,69219,69196,69202,-1,69207.5,69195.75,69230.17619,69269.8366,69381.31959,23
2020.06.12 02:05,69243,69243,69200,69203,-1,69221.5,69195.3,69233.13571,69271.3809,69387.12023,43
2020.06.12 02:00,69224,69250,69224,69243,1,69237,69195.65,69236.45476,69272.82951,69393.00297,26
2020.06.12 01:55,69195,69230,69194,69224,1,69212,69199.05,69239.8881,69274.15282,69398.96449,36
2020.06.12 01:50,69207,69208,69184,69195,-1,69196,69207.35,69243.15476,69275.32752,69405.00179,24
2020.06.12 01:45,69199,69224,69197,69207,1,69210.5,69214.65,69246.44286,69276.33212,69411.1121,27
2020.06.12 01:40,69185,69207,69181,69199,1,69194,69223.05,69249.48095,69277.15233,69417.2926,26
2020.06.12 01:35,69151,69188,69147,69185,1,69167.5,69233.1,69252.2,69277.77691,69423.54031,41
2020.06.12 01:30,69135,69164,69131,69146,1,69147.5,69244.3,69254.58095,69278.19972,69429.85214,33
2020.06.12 01:25,69192,69193,69134,69134,-1,69163.5,69248.6,69256.91429,69278.40576,69436.22513,59
2020.06.12 01:20,69204,69224,69192,69193,-1,69208,69249.8,69259.24048,69278.37553,69442.65649,32
2020.06.12 01:15,69236,69236,69198,69205,-1,69217,69250.25,69261.40238,69278.09823,69449.14367,38
2020.06.12 01:10,69230,69255,69226,69243,1,69240.5,69242.05,69263.58095,69277.56484,69455.68428,29
2020.06.12 01:05,69267,69267,69225,69230,-1,69246,69239.85,69265.44048,69276.7732,69462.27613,42
2020.06.12 01:00,69303,69311,69247,69262,-1,69279,69237.45,69267,69275.7258,69468.91723,64
2020.06.12 00:55,69271,69308,69259,69308,1,69283.5,69235.65,69268.30952,69274.42608,69475.606,49
2020.06.12 00:50,69274,69298,69258,69271,-1,69278,69231.3,69269.63571,69272.88034,69482.34128,40
2020.06.12 00:45,69274,69284,69252,69274,0,69268,69231.85,69270.86905,69271.10039,69489.1222,32
2020.06.12 00:40,69238,69292,69227,69274,1,69259.5,69232.45,69272.11905,69269.10349,69495.94814,65
2020.06.12 00:35,69227,69240,69173,69238,1,69206.5,69236.5,69273.26429,69266.917,69502.81846,67
2020.06.12 00:30,69208,69233,69207,69227,1,69220,69240.55,69274.41429,69264.57674,69509.73247,26
2020.06.12 00:25,69248,69252,69191,69208,-1,69221.5,69244.95,69275.5381,69262.11849,69516.68933,61
2020.06.12 00:20,69222,69255,69062,69255,1,69158.5,69257.45,69276.3119,69259.58826,69523.6878,193
2020.06.12 00:15,69213,69240,69208,69222,1,69224,69265.35,69276.87619,69257.03704,69530.72621,32
2020.06.12 00:10,69251,69286,69224,69245,-1,69255,69271.15,69277.31905,69254.50925,69537.80254,62
2020.06.12 00:05,69259,69282,69249,69277,1,69265.5,69275.95,69277.65238,69252.04939,69544.91437,33
2020.06.12 00:00,69243,69264,69205,69259,1,69234.5,69283.7,69277.66667,69249.70836,69552.05883,59
2020.06.11 23:55,69274,69309,69238,69238,-1,69273.5,69286.85,69277.46905,69247.53466,69559.23269,71
2020.06.11 23:50,69260,69283,69248,69275,1,69265.5,69290.2,69276.98095,69245.5747,69566.43241,35
2020.06.11 23:45,69235,69259,69235,69256,1,69247,69294.3,69276.08571,69243.8742,69573.65416,24
2020.06.11 23:40,69273,69275,69246,69247,-1,69260.5,69297.6,69274.7881,69242.4742,69580.89378,29
2020.06.11 23:35,69261,69274,69257,69273,1,69265.5,69298.65,69273.34762,69241.41174,69588.14689,17
2020.06.11 23:30,69301,69306,69261,69261,-1,69283.5,69295.65,69272.34524,69240.70565,69595.40901,45
2020.06.11 23:25,69303,69309,69297,69301,-1,69303,69287.8,69272.27857,69240.35797,69602.67563,12
2020.06.11 23:20,69312,69329,69297,69303,-1,69313,69278.9,69273.16429,69240.37835,69609.94219,32
2020.06.11 23:15,69311,69320,69307,69314,1,69313.5,69270.2,69275.00476,69240.77431,69617.20402,13
2020.06.11 23:10,69311,69326,69298,69311,0,69312,69263.15,69277.5381,69241.55642,69624.45635,28
2020.06.11 23:05,69292,69321,69289,69310,1,69305,69259.15,69280.68333,69242.73815,69631.69429,32
2020.06.11 23:00,69294,69316,69282,69297,1,69299,69257.75,69284.15238,69244.33688,69638.91284,34
2020.06.11 22:55,69302,69307,69269,69292,-1,69288,69258.7,69287.77857,69246.36722,69646.10689,38
2020.06.11 22:50,69276,69319,69268,69301,1,69293.5,69260.55,69291.42143,69248.83832,69653.27138,51
2020.06.11 22:45,69288,69288,69264,69280,-1,69276,69264.7,69294.70476,69251.75886,69660.40141,24
2020.06.11 22:40,69223,69291,69216,69290,1,69253.5,69268.55,69297.34048,69255.14646,69667.49224,75
2020.06.11 22:35,69239,69240,69209,69224,-1,69224.5,69273.7,69298.99762,69259.03068,69674.53917,31
2020.06.11 22:30,69203,69251,69197,69240,1,69224,69277.2,69299.54048,69263.43776,69681.53741,54
2020.06.11 22:25,69230,69249,69204,69205,-1,69226.5,69280.45,69298.74524,69268.39823,69688.48203,45
2020.06.11 22:20,69256,69259,69224,69231,-1,69241.5,69282.95,69296.79048,69273.92946,69695.36807,35
2020.06.11 22:15,69267,69286,69244,69258,-1,69265,69284,69293.66667,69280.03926,69702.19077,42
2020.06.11 22:10,69302,69304,69266,69269,-1,69285,69282.7,69289.64048,69286.73012,69708.9456,38
2020.06.11 22:05,69310,69318,69277,69301,-1,69297.5,69279.95,69284.75,69294.00781,69715.62841,41
2020.06.11 22:00,69315,69328,69296,69311,-1,69312,69275.5,69279.05714,69301.88322,69722.2354,32
2020.06.11 21:55,69305,69338,69297,69313,1,69317.5,69270.35,69272.7619,69310.37115,69728.76293,41
2020.06.11 21:50,69287,69310,69274,69303,1,69292,69268.4,69265.77381,69319.48228,69735.20762,36
2020.06.11 21:45,69252,69302,69250,69286,1,69276,69274.6,69257.94048,69329.21589,69741.56637,52
2020.06.11 21:40,69267,69274,69244,69253,-1,69259,69286.4,69249.47857,69339.56633,69747.83648,30
2020.06.11 21:35,69253,69274,69244,69267,1,69259,69297.5,69240.64524,69350.51091,69754.01566,30
2020.06.11 21:30,69275,69287,69246,69253,-1,69266.5,69308.85,69231.4,69362.02769,69760.10198,41
2020.06.11 21:25,69291,69292,69259,69274,-1,69275.5,69316.35,69221.9619,69374.09114,69766.09382,33
2020.06.11 21:20,69270,69291,69253,69291,1,69272,69325.2,69212.42143,69386.66739,69771.98981,38
2020.06.11 21:15,69270,69282,69258,69271,1,69270,69330.6,69203.16905,69399.71102,69777.78887,24
2020.06.11 21:10,69289,69298,69237,69269,-1,69267.5,69334.85,69194.33095,69413.17121,69783.49024,61
2020.06.11 21:05,69258,69294,69238,69289,1,69266,69337.05,69186.25238,69426.99358,69789.09349,56
2020.06.11 21:00,69315,69315,69230,69260,-1,69272.5,69333.65,69179.24524,69441.11872,69794.59853,85
2020.06.11 20:55,69367,69368,69308,69312,-1,69338,69323.9,69173.78333,69455.48859,69800.00565,60
2020.06.11 20:50,69379,69403,69351,69370,-1,69377,69308.5,69169.83333,69470.04297,69805.31565,52
2020.06.11 20:45,69388,69390,69350,69382,-1,69370,69288.6,69167.5119,69484.72901,69810.52973,40
2020.06.11 20:40,69362,69399,69361,69388,1,69380,69263.75,69167.17381,69499.49131,69815.64955,38
2020.06.11 20:35,69346,69362,69339,69362,1,69350.5,69241.9,69168.62381,69514.28566,69820.67693,23
2020.06.11 20:30,69338,69383,69338,69347,1,69360.5,69218.4,69171.87857,69529.07087,69825.61388,45
2020.06.11 20:25,69340,69344,69304,69338,-1,69324,69198.15,69177.00238,69543.80576,69830.4626,40
2020.06.11 20:20,69286,69339,69281,69338,1,69310,69177.25,69184,69558.45161,69835.22536,58
2020.06.11 20:15,69268,69314,69262,69286,1,69288,69155.95,69192.70238,69572.96822,69839.90451,52
2020.06.11 20:10,69250,69270,69207,69266,1,69238.5,69138.15,69202.96429,69587.31827,69844.5025,63
2020.06.11 20:05,69257,69265,69216,69252,-1,69240.5,69121.65,69214.5881,69601.46578,69849.02182,49
2020.06.11 20:00,69215,69266,69180,69258,1,69223,69110.1,69227.6619,69615.37896,69853.46501,86
2020.06.11 19:55,69132,69215,69127,69215,1,69171,69108.7,69241.98333,69629.03223,69857.83466,88
2020.06.11 19:50,69130,69143,69120,69130,0,69131.5,69112,69257.32857,69642.41047,69862.13343,23
2020.06.11 19:45,69140,69148,69116,69129,-1,69132,69114.7,69274.04048,69655.49551,69866.36415,32
2020.06.11 19:40,69122,69140,69111,69139,1,69125.5,69118.15,69292.03095,69668.2696,69870.52982,29
2020.06.11 19:35,69121,69135,69108,69123,1,69121.5,69124.85,69311.16905,69680.71567,69874.63358,27
2020.06.11 19:30,69057,69145,69057,69122,1,69101,69136.3,69331.49762,69692.81639,69878.67875,88
2020.06.11 19:25,69065,69097,69053,69059,-1,69075,69149.25,69352.89762,69704.55388,69882.66886,44
2020.06.11 19:20,69062,69076,69045,69064,1,69060.5,69167.4,69375.08333,69715.91539,69886.60757,31
2020.06.11 19:15,69093,69094,69057,69064,-1,69075.5,69186.5,69397.67857,69726.90072,69890.49849,37
2020.06.11 19:10,69133,69135,69080,69093,-1,69107.5,69209.2,69420.2881,69737.51257,69894.34505,55
2020.06.11 19:05,69161,69189,69125,69133,-1,69157,69225.55,69443.00714,69747.7479,69898.15053,64
2020.06.11 19:00,69172,69189,69140,69160,-1,69164.5,69239.85,69466.01905,69757.59086,69901.91825,49
2020.06.11 18:55,69141,69194,69124,69172,1,69159,69256.65,69489.04524,69767.02442,69905.65173,70
