UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,165320,165371,165320,165332,1,165345.5,165436.75,165471.8048,165440.3644,165115.0671,51
2020.06.12 06:35,165367,165387,165299,165321,-1,165343,165433.15,165485.7476,165434.1107,165111.2804,88
2020.06.12 06:30,165405,165442,165363,165368,-1,165402.5,165427.1,165499.6714,165427.3398,165107.5552,79
2020.06.12 06:25,165445,165482,165389,165400,-1,165435.5,165418.15,165513.7643,165420.0044,165103.8921,93
2020.06.12 06:20,165526,165584,165446,165448,-1,165515,165406.55,165527.85,165412.0717,165100.293,138
2020.06.12 06:15,165475,165546,165430,165526,1,165488,165391.3,165541.7476,165403.5159,165096.7607,116
2020.06.12 06:10,165503,165556,165403,165475,-1,165479.5,165367.2,165556.0881,165394.2886,165093.299,153
2020.06.12 06:05,165476,165532,165450,165503,1,165491,165343.2,165570.3595,165384.36,165089.9131,82
2020.06.12 06:00,165451,165529,165401,165479,1,165465,165333.05,165584.2881,165373.7156,165086.6088,128
2020.06.12 05:55,165334,165534,165333,165451,1,165433.5,165333.4,165597.3833,165362.3472,165083.3923,201
2020.06.12 05:50,165338,165342,165287,165334,-1,165314.5,165355.45,165608.5548,165350.2739,165080.2692,55
2020.06.12 05:45,165356,165356,165258,165339,-1,165307,165377.15,165617.8238,165337.5039,165077.2451,98
2020.06.12 05:40,165373,165373,165311,165357,-1,165342,165407.95,165624.5405,165324.0636,165074.3239,62
2020.06.12 05:35,165349,165400,165292,165373,1,165346,165448.5,165627.931,165310.0077,165071.5088,108
2020.06.12 05:30,165376,165470,165328,165348,-1,165399,165477.35,165628.1405,165295.4033,165068.8011,142
2020.06.12 05:25,165280,165392,165279,165376,1,165335.5,165513.95,165624.5786,165280.3633,165066.2002,113
2020.06.12 05:20,165225,165316,165161,165282,1,165238.5,165562.8,165616.7952,165265.0346,165063.7028,155
2020.06.12 05:15,165271,165289,165213,165226,-1,165251,165604.15,165605.3595,165249.5637,165061.3027,76
2020.06.12 05:10,165390,165461,165266,165269,-1,165363.5,165638.9,165590.281,165234.1108,165058.991,195
2020.06.12 05:05,165480,165495,165379,165390,-1,165437,165664.55,165571.9262,165218.8409,165056.7559,116
2020.06.12 05:00,165491,165599,165471,165480,-1,165535,165688.1,165550.4405,165203.9187,165054.5833,128
2020.06.12 04:55,165535,165593,165455,165490,-1,165524,165715.95,165525.8071,165189.5002,165052.457,138
2020.06.12 04:50,165762,165764,165536,165537,-1,165650,165725.95,165499.4714,165175.6953,165050.3598,228
2020.06.12 04:45,165710,165793,165710,165761,1,165751.5,165719.5,165472.4571,165162.5813,165048.2732,83
2020.06.12 04:40,165666,165758,165617,165709,1,165687.5,165714.1,165445.4643,165150.2198,165046.1782,141
2020.06.12 04:35,165711,165750,165653,165664,-1,165701.5,165702.35,165419.0929,165138.6332,165044.0556,97
2020.06.12 04:30,165664,165803,165651,165711,1,165727,165683.15,165394.05,165127.8243,165041.8866,152
2020.06.12 04:25,165679,165701,165628,165664,-1,165664.5,165668.35,165370.5214,165117.7873,165039.6523,73
2020.06.12 04:20,165698,165763,165659,165679,-1,165711,165642.9,165348.9833,165108.4776,165037.3353,104
2020.06.12 04:15,165732,165735,165652,165698,-1,165693.5,165625.55,165329.1286,165099.8455,165034.9193,83
2020.06.12 04:10,165835,165835,165706,165734,-1,165770.5,165608.4,165311.1595,165091.8409,165032.3895,129
2020.06.12 04:05,165789,165853,165752,165833,1,165802.5,165590.05,165295.3929,165084.4063,165029.7325,101
2020.06.12 04:00,165762,165809,165691,165792,1,165750,165571.8,165281.7429,165077.4972,165026.9369,118
2020.06.12 03:55,165666,165754,165620,165754,1,165687,165549,165270.3619,165071.0668,165023.9927,134
2020.06.12 03:50,165628,165694,165573,165670,1,165633.5,165519.7,165261.2952,165065.0674,165020.8917,121
2020.06.12 03:45,165558,165627,165541,165627,1,165584,165481.75,165254.7524,165059.4308,165017.628,86
2020.06.12 03:40,165476,165597,165473,165557,1,165535,165439.15,165250.581,165054.0823,165014.1978,124
2020.06.12 03:35,165494,165562,165471,165476,-1,165516.5,165399.35,165247.4476,165048.9691,165010.5995,91
2020.06.12 03:30,165548,165570,165343,165491,-1,165456.5,165364,165244.6714,165044.0612,165006.8329,227
2020.06.12 03:25,165559,165563,165477,165548,-1,165520,165322.25,165241.9524,165039.3265,165002.8994,86
2020.06.12 03:20,165660,165660,165538,165557,-1,165599,165279.1,165238.8952,165034.7316,164998.801,122
2020.06.12 03:15,165599,165668,165570,165657,1,165619,165236.9,165235.0476,165030.2588,164994.5404,98
2020.06.12 03:10,165522,165660,165475,165589,1,165567.5,165198.65,165230.1619,165025.8977,164990.1208,185
2020.06.12 03:05,165389,165541,165377,165523,1,165459,165172.9,165223.9595,165021.6322,164985.546,164
2020.06.12 03:00,165274,165470,165211,165393,1,165340.5,165152.2,165216.8405,165017.4341,164980.8198,259
2020.06.12 02:55,165097,165319,165090,165285,1,165204.5,165147.25,165208.519,165013.3017,164975.946,229
2020.06.12 02:50,165112,165142,165076,165095,-1,165109,165148.55,165198.3452,165009.2501,164970.9272,66
2020.06.12 02:45,165114,165156,165081,165126,1,165118.5,165157.25,165186.7405,165005.2852,164965.7661,75
2020.06.12 02:40,165091,165129,165077,165114,1,165103,165174.25,165173.85,165001.4213,164960.4646,52
2020.06.12 02:35,165130,165151,165054,165086,-1,165102.5,165190.6,165159.3143,164997.707,164955.0234,97
