UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,153871,153896,153859,153871,0,153877.5,153910.95,153919.6024,154001.8358,153934.8233,37
2020.06.12 06:35,153889,153906,153861,153871,-1,153883.5,153906.5,153925.0667,154003.0025,153935.318,45
2020.06.12 06:30,153906,153913,153879,153889,-1,153896,153901.9,153931.2667,154003.9486,153935.8862,34
2020.06.12 06:25,153936,153955,153884,153903,-1,153919.5,153895.75,153938.5833,154004.6425,153936.5269,71
2020.06.12 06:20,153980,153983,153931,153938,-1,153957,153887.45,153947.2571,154005.0477,153937.2391,52
2020.06.12 06:15,153952,153987,153923,153978,1,153955,153879.4,153956.8429,154005.1314,153938.0218,64
2020.06.12 06:10,153924,153958,153921,153952,1,153939.5,153872.7,153967.25,154004.8745,153938.8733,37
2020.06.12 06:05,153928,153946,153910,153924,-1,153928,153864.55,153978.1381,154004.2679,153939.7912,36
2020.06.12 06:00,153901,153929,153877,153928,1,153903,153863,153988.9786,154003.3078,153940.7728,52
2020.06.12 05:55,153853,153925,153830,153907,1,153877.5,153867.35,153999.6476,154001.9941,153941.8141,95
2020.06.12 05:50,153859,153870,153831,153853,-1,153850.5,153879.45,154009.9643,154000.3278,153942.9099,39
2020.06.12 05:45,153864,153864,153814,153859,-1,153839,153892.55,154019.5238,153998.3201,153944.054,50
2020.06.12 05:40,153834,153873,153827,153864,1,153850,153906.4,154027.8143,153995.9872,153945.2387,46
2020.06.12 05:35,153881,153891,153825,153834,-1,153858,153923.2,154034.4524,153993.3507,153946.4554,66
2020.06.12 05:30,153890,153901,153847,153881,-1,153874,153932.8,154039.5643,153990.4368,153947.6942,54
2020.06.12 05:25,153871,153893,153856,153890,1,153874.5,153939.85,154043.4405,153987.2804,153948.9446,37
2020.06.12 05:20,153855,153903,153842,153871,1,153872.5,153951.65,154045.9119,153983.9182,153950.1946,61
2020.06.12 05:15,153843,153876,153817,153855,1,153846.5,153965.5,154046.8952,153980.3884,153951.4309,59
2020.06.12 05:10,153922,153938,153837,153843,-1,153887.5,153979.7,154046.8214,153976.73,153952.6391,101
2020.06.12 05:05,153941,153953,153889,153922,-1,153921,153991.85,154045.6786,153972.9848,153953.8036,64
2020.06.12 05:00,153978,154005,153938,153941,-1,153971.5,154000.1,154043.3905,153969.1982,153954.9073,67
2020.06.12 04:55,153959,153998,153942,153978,1,153970,154010,154040.3167,153965.4034,153955.9325,56
2020.06.12 04:50,154012,154025,153952,153953,-1,153988.5,154021.25,154036.7476,153961.6279,153956.861,73
2020.06.12 04:45,154006,154050,154002,154012,1,154026,154032.1,154032.8952,153957.8965,153957.6743,48
2020.06.12 04:40,153919,154023,153917,154006,1,153970,154049.4,154028.5643,153954.2439,153958.3537,106
2020.06.12 04:35,153958,153987,153903,153919,-1,153945,154069.6,154023.5643,153950.6991,153958.8812,84
2020.06.12 04:30,153985,154024,153957,153963,-1,153990.5,154080.7,154018.4762,153947.2744,153959.2392,67
2020.06.12 04:25,154019,154019,153951,153985,-1,153985,154091.25,154013.581,153943.9687,153959.4116,68
2020.06.12 04:20,154056,154057,154002,154019,-1,154029.5,154093.2,154008.9095,153940.7665,153959.3836,55
2020.06.12 04:15,154038,154079,154006,154056,1,154042.5,154090.65,154004.7119,153937.6463,153959.1426,73
2020.06.12 04:10,154063,154079,154029,154039,-1,154054,154091.4,154000.9548,153934.5855,153958.6779,50
2020.06.12 04:05,154100,154111,154027,154064,-1,154069,154096.1,153997.3143,153931.5673,153957.9805,84
2020.06.12 04:00,154123,154130,154072,154100,-1,154101,154093.3,153994.0048,153928.5831,153957.0434,58
2020.06.12 03:55,154132,154166,154103,154129,-1,154134.5,154080.5,153991.2262,153925.6253,153955.8611,63
2020.06.12 03:50,154172,154183,154103,154134,-1,154143,154062.6,153989.2429,153922.6846,153954.4297,80
2020.06.12 03:45,154124,154174,154120,154172,1,154147,154040.15,153988.2333,153919.7553,153952.7466,54
2020.06.12 03:40,154068,154150,154053,154124,1,154101.5,154021.25,153987.7857,153916.842,153950.8107,97
