UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,106640,106644,106630,106630,-1,106637,106633.75,106619.8857,106595.2363,106619.8413,14
2020.06.12 06:35,106633,106646,106629,106640,1,106637.5,106629.8,106617.5595,106595.0262,106620.8732,17
2020.06.12 06:30,106647,106667,106626,106633,-1,106646.5,106625.85,106615.3071,106594.8993,106621.971,41
2020.06.12 06:25,106647,106663,106639,106647,0,106651,106623.95,106613.0452,106594.8528,106623.1379,24
2020.06.12 06:20,106641,106653,106627,106647,1,106640,106623.35,106610.75,106594.8873,106624.3772,26
2020.06.12 06:15,106640,106651,106634,106641,1,106642.5,106622,106608.5548,106595.0001,106625.692,17
2020.06.12 06:10,106648,106648,106634,106640,-1,106641,106623.15,106606.3476,106595.1878,106627.0854,14
2020.06.12 06:05,106640,106651,106623,106648,1,106637,106625.9,106604.0357,106595.4563,106628.56,28
2020.06.12 06:00,106627,106640,106622,106640,1,106631,106628.9,106601.6095,106595.8092,106630.1179,18
2020.06.12 05:55,106609,106629,106588,106628,1,106608.5,106633.4,106599.0357,106596.2525,106631.7608,41
2020.06.12 05:50,106597,106609,106596,106609,1,106602.5,106636.3,106596.369,106596.7874,106633.4902,13
2020.06.12 05:45,106594,106608,106588,106595,1,106598,106636.3,106593.8143,106597.4091,106635.3073,20
2020.06.12 05:40,106622,106624,106590,106594,-1,106607,106634.85,106591.3762,106598.1153,106637.213,34
2020.06.12 05:35,106633,106642,106622,106623,-1,106632,106631.1,106589.1595,106598.8976,106639.208,20
2020.06.12 05:30,106625,106646,106622,106632,1,106634,106627.6,106587.1619,106599.744,106641.293,24
2020.06.12 05:25,106639,106639,106619,106625,-1,106629,106623.25,106585.4048,106600.6419,106643.4681,20
2020.06.12 05:20,106658,106674,106631,106639,-1,106652.5,106616.1,106583.9571,106601.5819,106645.7332,43
2020.06.12 05:15,106675,106675,106654,106659,-1,106664.5,106608.65,106582.9167,106602.5445,106648.0883,21
2020.06.12 05:10,106659,106677,106645,106675,1,106661,106601.15,106582.3619,106603.5102,106650.5329,32
2020.06.12 05:05,106658,106665,106642,106659,1,106653.5,106593.95,106582.1667,106604.4658,106653.0667,23
2020.06.12 05:00,106610,106658,106605,106658,1,106631.5,106587.9,106582.2952,106605.4059,106655.6887,53
2020.06.12 04:55,106599,106617,106579,106610,1,106598,106584.15,106582.5952,106606.3323,106658.3977,38
2020.06.12 04:50,106590,106606,106579,106601,1,106592.5,106580.95,106583.0571,106607.2438,106661.1918,27
2020.06.12 04:45,106595,106601,106588,106590,-1,106594.5,106578.55,106583.7643,106608.1385,106664.069,13
2020.06.12 04:40,106589,106609,106589,106594,1,106599,106576.45,106584.7667,106609.0092,106667.0268,20
2020.06.12 04:35,106588,106598,106573,106588,0,106585.5,106575.15,106586.031,106609.8452,106670.063,25
2020.06.12 04:30,106586,106596,106566,106588,1,106581,106575.9,106587.3857,106610.6439,106673.1752,30
2020.06.12 04:25,106592,106601,106579,106586,-1,106590,106576.8,106588.7095,106611.4094,106676.3609,22
2020.06.12 04:20,106579,106602,106570,106592,1,106586,106577.35,106589.969,106612.1356,106679.6176,32
2020.06.12 04:15,106578,106589,106574,106579,1,106581.5,106577.95,106591.281,106612.8166,106682.9432,15
2020.06.12 04:10,106557,106586,106556,106579,1,106571,106579.35,106592.5595,106613.4477,106686.3357,30
2020.06.12 04:05,106557,106570,106551,106557,0,106560.5,106580.3,106593.7214,106614.0287,106689.7928,19
2020.06.12 04:00,106574,106574,106547,106557,-1,106560.5,106582.65,106594.7333,106614.5666,106693.3129,27
2020.06.12 03:55,106562,106579,106562,106575,1,106570.5,106583.65,106595.6548,106615.0651,106696.8941,17
2020.06.12 03:50,106572,106594,106562,106562,-1,106578,106584.55,106596.5048,106615.5301,106700.5349,32
2020.06.12 03:45,106574,106580,106565,106572,-1,106572.5,106585.65,106597.2476,106615.976,106704.2336,15
2020.06.12 03:40,106606,106614,106563,106573,-1,106588.5,106586.35,106597.9643,106616.4145,106707.9889,51
2020.06.12 03:35,106598,106612,106586,106607,1,106599,106585.7,106598.7929,106616.8455,106711.7995,26
2020.06.12 03:30,106600,106606,106577,106600,0,106591.5,106586.8,106599.731,106617.2731,106715.6641,29
2020.06.12 03:25,106597,106600,106575,106600,1,106587.5,106589.5,106600.6143,106617.6953,106719.5816,25
2020.06.12 03:20,106568,106607,106563,106597,1,106585,106589.85,106601.7405,106618.0996,106723.5511,44
2020.06.12 03:15,106582,106583,106557,106568,-1,106570,106590.6,106603.2643,106618.471,106727.5719,26
2020.06.12 03:10,106572,106596,106572,106582,1,106584,106590.45,106605.0214,106618.7971,106731.6436,24
2020.06.12 03:05,106598,106598,106563,106572,-1,106580.5,106590.65,106606.8214,106619.0777,106735.766,35
2020.06.12 03:00,106577,106603,106571,106598,1,106587,106593.4,106608.5262,106619.3209,106739.9387,32
2020.06.12 02:55,106591,106597,106570,106573,-1,106583.5,106597.5,106609.8524,106619.5346,106744.1613,27
2020.06.12 02:50,106583,106608,106583,106591,1,106595.5,106601.7,106611.0429,106619.7202,106748.4333,25
2020.06.12 02:45,106598,106601,106584,106588,-1,106592.5,106604.35,106612.2357,106619.8781,106752.7541,17
2020.06.12 02:40,106603,106610,106595,106598,-1,106602.5,106604.6,106613.4048,106620.0083,106757.1234,15
2020.06.12 02:35,106603,106630,106599,106603,0,106614.5,106603.8,106614.419,106620.1177,106761.5405,31
2020.06.12 02:30,106574,106604,106573,106603,1,106588.5,106605.5,106615.581,106620.2071,106766.0052,31
2020.06.12 02:25,106576,106585,106570,106574,-1,106577.5,106606.2,106616.7857,106620.2789,106770.5173,15
2020.06.12 02:20,106577,106596,106569,106575,-1,106582.5,106604.7,106618.0976,106620.3342,106775.0768,27
2020.06.12 02:15,106604,106604,106561,106577,-1,106582.5,106603.9,106619.369,106620.3706,106779.6835,43
2020.06.12 02:10,106616,106625,106604,106604,-1,106614.5,106603,106620.5452,106620.3914,106784.3372,21
2020.06.12 02:05,106635,106635,106614,106617,-1,106624.5,106602.4,106621.7429,106620.4049,106789.0372,21
2020.06.12 02:00,106628,106652,106623,106635,1,106637.5,106601.25,106622.8,106620.4217,106793.7829,29
2020.06.12 01:55,106609,106630,106608,106630,1,106619,106601.4,106623.5548,106620.4551,106798.5734,22
