UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,89867,89880,89864,89865,-1,89872,89876.9,89871.11429,89826.35869,89757.56662,16
2020.06.12 06:35,89880,89883,89864,89867,-1,89873.5,89874.35,89871.50476,89823.24103,89758.62206,19
2020.06.12 06:30,89880,89892,89877,89880,0,89884.5,89871.8,89871.89286,89819.97326,89759.78746,15
2020.06.12 06:25,89894,89897,89880,89880,-1,89888.5,89869.5,89872.2381,89816.5541,89761.06223,17
2020.06.12 06:20,89906,89912,89892,89894,-1,89902,89866.5,89872.56905,89812.98566,89762.44561,20
2020.06.12 06:15,89882,89911,89882,89906,1,89896.5,89862.9,89872.87381,89809.27126,89763.93664,29
2020.06.12 06:10,89878,89884,89870,89882,1,89877,89861.25,89873.10714,89805.41229,89765.53412,14
2020.06.12 06:05,89870,89885,89869,89878,1,89877,89859.8,89873.25,89801.41357,89767.23665,16
2020.06.12 06:00,89851,89876,89849,89870,1,89862.5,89860.9,89873.17143,89797.28389,89769.0425,27
2020.06.12 05:55,89855,89867,89849,89852,-1,89858,89862.65,89872.84524,89793.03416,89770.94955,18
2020.06.12 05:50,89845,89855,89844,89855,1,89849.5,89865.3,89872.22381,89788.67447,89772.95532,11
2020.06.12 05:45,89857,89857,89839,89845,-1,89848,89866.75,89871.34762,89784.21401,89775.05681,18
2020.06.12 05:40,89864,89867,89851,89857,-1,89859,89868.05,89870.23571,89779.66412,89777.25048,16
2020.06.12 05:35,89874,89875,89856,89864,-1,89865.5,89869.8,89868.6881,89775.04485,89779.53207,19
2020.06.12 05:30,89864,89880,89864,89874,1,89872,89871.8,89866.55714,89770.38189,89781.89653,16
2020.06.12 05:25,89867,89869,89852,89864,-1,89860.5,89875.5,89863.82143,89765.70604,89784.33803,17
2020.06.12 05:20,89856,89873,89848,89867,1,89860.5,89878.85,89860.58571,89761.04817,89786.85004,25
2020.06.12 05:15,89866,89872,89853,89856,-1,89862.5,89880.75,89856.92381,89756.43239,89789.42541,19
2020.06.12 05:10,89873,89888,89859,89866,-1,89873.5,89881.35,89852.95,89751.88223,89792.05653,29
2020.06.12 05:05,89875,89890,89861,89873,-1,89875.5,89881.2,89848.69524,89747.42342,89794.73538,29
2020.06.12 05:00,89873,89890,89862,89875,1,89876,89881.25,89844.12143,89743.08538,89797.45346,28
2020.06.12 04:55,89856,89877,89848,89873,1,89862.5,89883.15,89839.25238,89738.89391,89800.202,29
2020.06.12 04:50,89881,89892,89852,89856,-1,89872,89882.55,89834.23095,89734.8691,89802.97211,40
2020.06.12 04:45,89886,89890,89876,89880,-1,89883,89879.95,89829.32857,89731.02099,89805.75494,14
2020.06.12 04:40,89884,89904,89880,89886,1,89892,89876.75,89824.63571,89727.3572,89808.5418,24
2020.06.12 04:35,89895,89913,89882,89884,-1,89897.5,89873.45,89820.06905,89723.88256,89811.32419,31
2020.06.12 04:30,89889,89902,89886,89895,1,89894,89869.3,89815.63333,89720.6015,89814.0939,16
2020.06.12 04:25,89881,89889,89874,89889,1,89881.5,89866.15,89811.27619,89717.51988,89816.84305,15
2020.06.12 04:20,89881,89893,89866,89881,0,89879.5,89862.8,89807,89714.63533,89819.56423,27
2020.06.12 04:15,89869,89887,89861,89881,1,89874,89859.25,89802.80238,89711.94502,89822.25058,26
2020.06.12 04:10,89884,89885,89868,89869,-1,89876.5,89855.8,89798.67857,89709.44291,89824.89578,17
2020.06.12 04:05,89884,89894,89869,89884,0,89881.5,89852.25,89794.68095,89707.12409,89827.49399,25
2020.06.12 04:00,89853,89889,89843,89884,1,89866,89848.35,89790.79048,89704.98522,89830.03986,46
2020.06.12 03:55,89852,89874,89840,89854,1,89857,89844.7,89786.96667,89703.02159,89832.52868,34
2020.06.12 03:50,89872,89874,89846,89853,-1,89860,89837.3,89783.27381,89701.22608,89834.9564,28
2020.06.12 03:45,89862,89876,89853,89872,1,89864.5,89827.05,89779.72381,89699.59258,89837.31954,23
2020.06.12 03:40,89848,89862,89843,89862,1,89852.5,89818.05,89776.14762,89698.11744,89839.61506,19
2020.06.12 03:35,89857,89863,89837,89845,-1,89850,89810.9,89772.31905,89696.80293,89841.84025,26
2020.06.12 03:30,89839,89858,89834,89857,1,89846,89803.85,89768.11667,89695.65482,89843.99264,24
2020.06.12 03:25,89833,89848,89829,89838,1,89838.5,89797.9,89763.64286,89694.67159,89846.07003,19
2020.06.12 03:20,89851,89854,89830,89833,-1,89842,89791.85,89758.96905,89693.84751,89848.0706,24
2020.06.12 03:15,89834,89858,89834,89851,1,89846,89785.2,89754.10476,89693.18112,89849.993,24
2020.06.12 03:10,89817,89844,89810,89834,1,89827,89780.9,89748.86429,89692.6778,89851.83616,34
2020.06.12 03:05,89817,89831,89810,89817,0,89820.5,89777.1,89743.31429,89692.34064,89853.5993,21
2020.06.12 03:00,89776,89818,89754,89816,1,89786,89777,89737.44524,89692.17685,89855.28178,64
2020.06.12 02:55,89748,89778,89746,89774,1,89762,89778.2,89731.37857,89692.19396,89856.88307,32
2020.06.12 02:50,89774,89780,89745,89746,-1,89762.5,89777.55,89725.21429,89692.39673,89858.40271,35
2020.06.12 02:45,89781,89783,89774,89780,-1,89778.5,89776.15,89719.12619,89692.78837,89859.84024,9
2020.06.12 02:40,89772,89786,89765,89781,1,89775.5,89774.65,89713.15476,89693.37436,89861.19517,21
2020.06.12 02:35,89778,89791,89767,89770,-1,89779,89773,89707.17143,89694.17049,89862.46681,24
2020.06.12 02:30,89786,89788,89775,89778,-1,89781.5,89771.1,89701.30476,89695.19352,89863.65423,13
