UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,12081000,12082200,12079100,12079700,-1,12080650,12063700,12057102.86,12052366.51,12073717.58,3100
2020.06.12 06:35,12075000,12085600,12075000,12081100,1,12080300,12061875,12056122.14,12052437.53,12074404.22,10600
2020.06.12 06:30,12064300,12075600,12063100,12075000,1,12069350,12061300,12055144.29,12052537.91,12075104.35,12500
2020.06.12 06:25,12062000,12066000,12060500,12064400,1,12063250,12061790,12054124.05,12052669.51,12075817.62,5500
2020.06.12 06:20,12060900,12062900,12058600,12062000,1,12060750,12062410,12053043.57,12052834.37,12076543.7,4300
2020.06.12 06:15,12059900,12062200,12058800,12061000,1,12060500,12062460,12051949.76,12053033.96,12077282.19,3400
2020.06.12 06:10,12061200,12061200,12056300,12059900,-1,12058750,12063045,12050838.33,12053270.56,12078032.69,4900
2020.06.12 06:05,12060100,12061800,12057800,12061200,1,12059800,12063430,12049757.38,12053545.01,12078794.7,4000
2020.06.12 06:00,12061000,12064300,12058300,12060100,-1,12061300,12063570,12048712.14,12053857.94,12079567.7,6000
2020.06.12 05:55,12063500,12063500,12058600,12061100,-1,12061050,12063455,12047731.67,12054208.78,12080351.13,4900
2020.06.12 05:50,12061400,12063800,12060100,12063500,1,12061950,12062980,12046828.1,12054595.69,12081144.46,3700
2020.06.12 05:45,12061300,12064300,12059800,12061400,1,12062050,12062320,12046044.05,12055015.69,12081947.13,4500
2020.06.12 05:40,12064800,12066000,12061200,12061600,-1,12063600,12060520,12045433.57,12055464.72,12082758.62,4800
2020.06.12 05:35,12070700,12072100,12064200,12064800,-1,12068150,12057865,12045047.62,12055937.75,12083578.42,7900
2020.06.12 05:30,12064300,12070700,12063200,12070700,1,12066950,12055280,12044894.52,12056429.35,12084406.03,7500
2020.06.12 05:25,12060300,12064800,12057200,12064200,1,12061000,12053540,12044932.38,12056934.57,12085240.96,7600
2020.06.12 05:20,12066200,12069500,12059700,12060300,-1,12064600,12051510,12045135.71,12057448.53,12086082.74,9800
2020.06.12 05:15,12065300,12066500,12060800,12066200,1,12063650,12049765,12045471.9,12057966.47,12086930.91,5700
2020.06.12 05:10,12061000,12066400,12059000,12065300,1,12062700,12047840,12045949.76,12058483.67,12087785.05,7400
