UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,176084,176116,176072,176074,-1,176094,176139.95,176044.8643,176098.8323,175958.7069,44
2020.06.12 06:35,176175,176175,176061,176084,-1,176118,176125.25,176051.3381,176097.0085,175957.9075,114
2020.06.12 06:30,176161,176213,176150,176179,1,176181.5,176100.55,176059.4286,176094.8365,175957.0923,63
2020.06.12 06:25,176176,176225,176152,176161,-1,176188.5,176073.9,176069.0762,176092.2522,175956.2584,73
2020.06.12 06:20,176245,176278,176172,176176,-1,176225,176045.5,176080.2452,176089.1982,175955.4044,106
2020.06.12 06:15,176187,176253,176173,176245,1,176213,176012.9,176092.5429,176085.6341,175954.5299,80
2020.06.12 06:10,176115,176194,176078,176187,1,176136,175980.55,176105.8857,176081.5047,175953.6359,116
2020.06.12 06:05,176146,176180,176089,176115,-1,176134.5,175947.2,176119.6452,176076.7882,175952.7242,91
2020.06.12 06:00,176108,176188,176065,176146,1,176126.5,175923.5,176133.7643,176071.4707,175951.7975,123
2020.06.12 05:55,176025,176150,175996,176110,1,176073,175911.75,176147.9929,176065.5486,175950.8581,154
2020.06.12 05:50,175997,176032,175975,176025,1,176003.5,175915.9,176162.0381,176059.008,175949.9089,57
2020.06.12 05:45,175954,176042,175900,175997,1,175971,175925.8,176175.4762,176051.8319,175948.9526,142
2020.06.12 05:40,175960,175974,175895,175954,-1,175934.5,175947.8,176187.2571,176044.0226,175947.9919,79
2020.06.12 05:35,175931,175976,175868,175962,1,175922,175977.45,176196.7762,176035.6184,175947.0285,108
2020.06.12 05:30,175884,175998,175884,175931,1,175941,176001.65,176204.0119,176026.6756,175946.0636,114
2020.06.12 05:25,175849,175933,175841,175884,1,175887,176030.55,176208.6238,176017.2824,175945.0969,92
2020.06.12 05:20,175802,175872,175753,175845,1,175812.5,176075.45,176210.1167,176007.5631,175944.1261,119
2020.06.12 05:15,175815,175829,175773,175802,-1,175801,176120.6,176208.8857,175997.6251,175943.1469,56
2020.06.12 05:10,175940,175977,175802,175810,-1,175889.5,176163.25,176204.7238,175987.5962,175942.153,175
2020.06.12 05:05,175987,175993,175918,175940,-1,175955.5,176195.7,176197.9095,175977.6027,175941.1357,75
2020.06.12 05:00,176038,176109,175981,175987,-1,176045,176221.2,176188.3857,175967.7767,175940.0848,128
2020.06.12 04:55,176078,176113,176027,176038,-1,176070,176245.7,176176.619,175958.2316,175938.988,86
2020.06.12 04:50,176231,176232,176077,176079,-1,176154.5,176261.2,176163.3905,175949.0603,175937.8323,155
2020.06.12 04:45,176198,176243,176194,176231,1,176218.5,176270.45,176149.2262,175940.3355,175936.6036,49
2020.06.12 04:40,176127,176259,176107,176197,1,176183,176276.5,176134.6071,175932.131,175935.2873,152
2020.06.12 04:35,176196,176234,176118,176127,-1,176176,176280.05,176119.7738,175924.507,175933.8684,116
2020.06.12 04:30,176243,176339,176184,176188,-1,176261.5,176271.15,176105.2619,175917.5019,175932.3318,155
2020.06.12 04:25,176300,176300,176205,176243,-1,176252.5,176260.75,176091.3286,175911.1565,175930.6629,95
2020.06.12 04:20,176286,176368,176264,176300,1,176316,176236.15,176078.6024,175905.4574,175928.8481,104
2020.06.12 04:15,176272,176325,176235,176286,1,176280,176220,176066.8524,175900.3962,175926.8752,90
2020.06.12 04:10,176338,176348,176252,176278,-1,176300,176210.55,176055.7452,175895.9694,175924.7334,96
2020.06.12 04:05,176330,176356,176274,176339,1,176315,176210.85,176044.8167,175892.1818,175922.4129,82
2020.06.12 04:00,176365,176366,176253,176329,-1,176309.5,176208,176034.6286,175889.029,175919.9056,113
2020.06.12 03:55,176265,176367,176255,176364,1,176311,176195.2,176025.7714,175886.4915,175917.2046,112
2020.06.12 03:50,176249,176300,176187,176265,1,176243.5,176177.35,176018.5905,175884.5322,175914.3047,113
2020.06.12 03:45,176160,176263,176160,176249,1,176211.5,176153.6,176013.1071,175883.0873,175911.203,103
2020.06.12 03:40,176136,176211,176134,176160,1,176172.5,176127.4,176009.3476,175882.0878,175907.8982,77
2020.06.12 03:35,176094,176223,176074,176134,1,176148.5,176106.8,176006.1095,175881.4736,175904.3915,149
2020.06.12 03:30,176118,176131,176009,176097,-1,176070,176094.75,176002.6619,175881.2223,175900.6851,122
2020.06.12 03:25,176136,176168,176069,176115,-1,176118.5,176075.85,175998.9476,175881.2869,175896.7825,99
2020.06.12 03:20,176303,176303,176108,176139,-1,176205.5,176052.6,175994.9333,175881.6151,175892.6881,195
2020.06.12 03:15,176294,176373,176263,176303,1,176318,176021.2,175990.6,175882.1649,175888.4074,110
2020.06.12 03:10,176225,176366,176196,176287,1,176281,175998.6,175985.3286,175882.9064,175883.9465,170
2020.06.12 03:05,176138,176245,176121,176223,1,176183,175983.4,175979.4167,175883.7858,175879.3126,124
2020.06.12 03:00,176003,176172,175958,176133,1,176065,175973,175972.9119,175884.7409,175874.5136,214
2020.06.12 02:55,175877,176083,175865,176016,1,175974,175969.5,175966.0357,175885.7214,175869.5576,218
2020.06.12 02:50,175923,175948,175873,175876,-1,175910.5,175968.55,175957.9476,175886.7001,175864.4529,75
2020.06.12 02:45,175950,175975,175910,175948,-1,175942.5,175966.4,175948.9262,175887.6528,175859.2077,65
2020.06.12 02:40,175941,175984,175915,175950,1,175949.5,175968.15,175939.2833,175888.5507,175853.8303,69
2020.06.12 02:35,175931,175965,175894,175934,1,175929.5,175968.9,175928.3214,175889.4133,175848.3281,71
2020.06.12 02:30,176029,176029,175917,175945,-1,175973,175973.25,175916.8381,175890.2455,175842.7081,112
2020.06.12 02:25,176003,176042,175966,176039,1,176004,175977.3,175905.1119,175891.0455,175836.9764,76
2020.06.12 02:20,176038,176115,175995,176003,-1,176055,175981.35,175893.3405,175891.8262,175831.1382,120
2020.06.12 02:15,175961,176101,175961,176038,1,176031,175994.05,175880.7952,175892.639,175825.1973,140
2020.06.12 02:10,175985,175998,175924,175966,-1,175961,176009.2,175866.9048,175893.558,175819.156,74
2020.06.12 02:05,175867,176011,175867,175994,1,175939,176026.55,175851.4571,175894.6735,175813.0144,144
2020.06.12 02:00,175867,175957,175845,175871,1,175901,176038.45,175835.3952,175896.0754,175806.7706,112
2020.06.12 01:55,175988,175999,175843,175867,-1,175921,176048.45,175819.4714,175897.8345,175800.4208,156
2020.06.12 01:50,175959,175995,175939,175988,1,175967,176038.8,175804.7167,175900.0125,175793.9598,56
2020.06.12 01:45,176023,176027,175847,175959,-1,175937,176022.35,175792.1833,175902.6296,175787.3816,180
2020.06.12 01:40,176011,176063,175970,176023,1,176016.5,175997.85,175781.5524,175905.7296,175780.6797,93
2020.06.12 01:35,176110,176110,175979,176011,-1,176044.5,175968.3,175773.481,175909.3539,175773.8478,131
2020.06.12 01:30,176121,176153,176038,176109,-1,176095.5,175930.2,175768.1905,175913.5091,175766.8794,115
2020.06.12 01:25,176145,176205,176111,176118,-1,176158,175887.9,175765.869,175918.1915,175759.7684,94
2020.06.12 01:20,176115,176151,176074,176145,1,176112.5,175859.25,175766.1786,175923.4052,175752.5093,77
2020.06.12 01:15,176065,176184,176041,176115,1,176112.5,175836.4,175769.0238,175929.1236,175745.0974,143
2020.06.12 01:10,176008,176073,175967,176065,1,176020,175825.1,175774.0619,175935.2984,175737.5292,106
2020.06.12 01:05,175922,176121,175921,176008,1,176021,175798.7,175781.8119,175941.8708,175729.8022,200
2020.06.12 01:00,175851,176010,175731,175921,1,175870.5,175776.95,175791.9405,175948.77,175721.9151,279
2020.06.12 00:55,175749,175852,175693,175851,1,175772.5,175765.65,175804.0452,175955.9359,175713.8669,159
2020.06.12 00:50,175735,175840,175703,175749,1,175771.5,175738.7,175818.4738,175963.2728,175705.6571,137
2020.06.12 00:45,175745,175775,175723,175735,-1,175749,175732.1,175833.5405,175970.702,175697.2859,52
2020.06.12 00:40,175744,175771,175658,175745,1,175714.5,175731.05,175849.2214,175978.1482,175688.754,113
2020.06.12 00:35,175788,175788,175682,175744,-1,175735,175734.15,175865.3952,175985.5197,175680.0629,106
2020.06.12 00:30,175855,175871,175781,175788,-1,175826,175730.6,175881.95,175992.7056,175671.2154,90
2020.06.12 00:25,175951,175959,175809,175855,-1,175884,175717.5,175899.0548,175999.6058,175662.2154,150
2020.06.12 00:20,175793,176025,175789,175951,1,175907,175702.15,175916.6619,176006.1173,175653.068,236
2020.06.12 00:15,175695,175819,175695,175790,1,175757,175701.15,175934.3405,176012.1316,175643.7798,124
2020.06.12 00:10,175732,175790,175516,175695,-1,175653,175714.05,175950.9738,176017.5678,175634.3586,274
2020.06.12 00:05,175504,175884,175435,175732,1,175659.5,175728.95,175966.369,176022.3336,175624.8136,449
2020.06.12 00:00,175641,175675,175329,175455,-1,175502,175759.15,175979.7,176026.3675,175615.155,346
2020.06.11 23:55,175705,175735,175631,175641,-1,175683,175774.6,175991.8571,176029.5871,175605.3943,104
2020.06.11 23:50,175721,175775,175633,175646,-1,175704,175798.8,176001.7238,176031.9346,175595.5437,142
2020.06.11 23:45,175781,175829,175703,175721,-1,175766,175819.1,176009.0476,176033.3896,175585.6158,126
2020.06.11 23:40,175763,175825,175756,175825,1,175790.5,175839.15,176014.2405,176033.9396,175575.6236,69
2020.06.11 23:35,175791,175792,175714,175763,-1,175753,175865.75,176017.2143,176033.5785,175565.5797,78
2020.06.11 23:30,175735,175791,175716,175791,1,175753.5,175896.15,176017.231,176032.344,175555.496,75
2020.06.11 23:25,175763,175795,175699,175731,-1,175747,175930.9,176013.9786,176030.2937,175545.3835,96
2020.06.11 23:20,175804,175813,175751,175769,-1,175782,175961.45,176008.2,176027.4633,175535.2525,62
2020.06.11 23:15,175809,175843,175774,175804,-1,175808.5,175989.65,176000.0286,176023.9135,175525.1123,69
2020.06.11 23:10,175790,175842,175766,175813,1,175804,176019.85,175989.8929,176019.7009,175514.9717,76
2020.06.11 23:05,175884,175901,175774,175787,-1,175837.5,176041.7,175977.8952,176014.8949,175504.838,127
