UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,183947,183974,183936,183948,1,183955,184044.95,184093.2524,184146.9386,183925.2132,38
2020.06.12 06:35,183966,183994,183906,183947,-1,183950,184046.4,184108.1429,184145.843,183918.9982,88
2020.06.12 06:30,184015,184038,183948,183968,-1,183993,184044.4,184123.0286,184144.4415,183912.6342,90
2020.06.12 06:25,184032,184072,183971,184011,-1,184021.5,184039.05,184138.2238,184142.6845,183906.1236,101
2020.06.12 06:20,184089,184150,184025,184028,-1,184087.5,184030.85,184153.4333,184140.5403,183899.4702,125
2020.06.12 06:15,184072,184105,183997,184089,1,184051,184021,184168.4738,184137.9818,183892.6792,108
2020.06.12 06:10,184122,184173,184001,184072,-1,184087,183998.2,184184.0714,184134.9505,183885.7577,172
2020.06.12 06:05,184102,184151,184060,184122,1,184105.5,183974.45,184199.8738,184131.4089,183878.7143,91
2020.06.12 06:00,184122,184163,184056,184096,-1,184109.5,183959.95,184215.8,184127.3267,183871.5593,107
2020.06.12 05:55,183977,184173,183977,184116,1,184075,183957.05,184231.3119,184122.6811,183864.3038,196
2020.06.12 05:50,184004,184004,183935,183977,-1,183969.5,183973.35,184245.3738,184117.4757,183856.9593,69
2020.06.12 05:45,184002,184006,183923,184004,1,183964.5,183992.3,184257.8881,184111.708,183849.538,83
2020.06.12 05:40,183996,184018,183928,184002,1,183973,184024.2,184268.0333,184105.3911,183842.0517,90
2020.06.12 05:35,183948,184038,183898,183994,1,183968,184065.85,184275.2238,184098.5547,183834.5121,140
2020.06.12 05:30,184010,184085,183926,183948,-1,184005.5,184094.25,184280.0952,184091.2227,183826.9309,159
2020.06.12 05:25,183884,184029,183876,184010,1,183952.5,184129.55,184281.8738,184083.4671,183819.3188,153
2020.06.12 05:20,183857,183934,183784,183884,1,183859,184178.6,184279.8095,184075.405,183811.6848,150
2020.06.12 05:15,183899,183907,183829,183857,-1,183868,184221.9,184274.4,184067.1532,183804.0361,78
2020.06.12 05:10,184006,184059,183870,183886,-1,183964.5,184258.6,184265.469,184058.8444,183796.3774,189
2020.06.12 05:05,184088,184128,183964,183998,-1,184046,184287.8,184253.3548,184050.6081,183788.7111,164
2020.06.12 05:00,184121,184208,184057,184094,-1,184132.5,184316.1,184238.3,184042.57,183781.0382,151
2020.06.12 04:55,184198,184240,184068,184121,-1,184154,184344.45,184220.281,184034.849,183773.3575,172
2020.06.12 04:50,184390,184391,184193,184198,-1,184292,184359.1,184200.5452,184027.5273,183765.6669,198
2020.06.12 04:45,184333,184436,184333,184390,1,184384.5,184357,184179.95,184020.6669,183757.9631,103
2020.06.12 04:40,184281,184360,184219,184333,1,184289.5,184358.15,184158.8952,184014.3224,183750.242,141
2020.06.12 04:35,184302,184347,184264,184281,-1,184305.5,184350.25,184138.3024,184008.4997,183742.4986,83
2020.06.12 04:30,184281,184428,184271,184298,1,184349.5,184336.85,184118.9714,184003.1838,183734.728,157
2020.06.12 04:25,184299,184339,184263,184279,-1,184301,184325.75,184101.1619,183998.3587,183726.9247,76
2020.06.12 04:20,184316,184374,184289,184301,-1,184331.5,184306.3,184085.3381,183993.9768,183719.0837,85
2020.06.12 04:15,184386,184389,184287,184317,-1,184338,184294.4,184071.1833,183989.9889,183711.2004,102
2020.06.12 04:10,184464,184482,184349,184389,-1,184415.5,184282.8,184058.8857,183986.3496,183703.2704,133
2020.06.12 04:05,184425,184500,184375,184464,1,184437.5,184268.65,184048.6714,183983.0073,183695.2907,125
2020.06.12 04:00,184442,184492,184385,184427,-1,184438.5,184255.1,184040.55,183979.9202,183687.2586,107
2020.06.12 03:55,184350,184440,184287,184427,1,184363.5,184237.25,184034.669,183977.0497,183679.1724,153
2020.06.12 03:50,184262,184367,184235,184350,1,184301,184216.85,184031.0143,183974.354,183671.0308,132
2020.06.12 03:45,184212,184262,184191,184262,1,184226.5,184196.55,184029.7976,183971.7744,183662.8338,71
2020.06.12 03:40,184163,184270,184161,184211,1,184215.5,184166.9,184031.1714,183969.2363,183654.5828,109
2020.06.12 03:35,184154,184246,184134,184168,1,184190,184135.25,184034.0452,183966.6729,183646.281,112
2020.06.12 03:30,184246,184255,184019,184154,-1,184137,184108.3,184037.9167,183964.0419,183637.933,236
2020.06.12 03:25,184268,184270,184168,184246,-1,184219,184071.05,184042.5405,183961.3076,183629.5439,102
2020.06.12 03:20,184351,184357,184242,184267,-1,184299.5,184033.4,184047.2214,183958.4466,183621.1192,115
2020.06.12 03:15,184315,184372,184220,184346,1,184296,183999.95,184051.4262,183955.4416,183612.664,152
2020.06.12 03:10,184263,184394,184212,184303,1,184303,183966.05,184055.2714,183952.2695,183604.1835,182
2020.06.12 03:05,184114,184280,184090,184248,1,184185,183944.65,184058.369,183948.9031,183595.683,190
2020.06.12 03:00,184069,184210,183984,184113,1,184097,183924.5,184061.0333,183945.2991,183587.1675,226
2020.06.12 02:55,183914,184138,183909,184074,1,184023.5,183916,184062.7619,183941.4397,183578.6417,229
2020.06.12 02:50,183912,183960,183878,183914,1,183919,183917.8,184062.6738,183937.3305,183570.1095,82
2020.06.12 02:45,183870,183910,183837,183878,1,183873.5,183930.9,184061.231,183932.965,183561.5742,73
2020.06.12 02:40,183869,183890,183845,183870,1,183867.5,183951.75,184058.4619,183928.3413,183553.0388,45
2020.06.12 02:35,183888,183906,183787,183869,-1,183846.5,183974,184053.7238,183923.4797,183544.5053,119
2020.06.12 02:30,183984,183992,183854,183886,-1,183923,183997.15,184047.5857,183918.3835,183535.9752,138
2020.06.12 02:25,183958,184012,183911,183984,1,183961.5,184024.55,184040.2667,183913.0503,183527.4494,101
2020.06.12 02:20,183925,184012,183916,183960,1,183964,184054.15,184031.55,183907.4903,183518.9279,96
2020.06.12 02:15,183883,184062,183880,183925,1,183971,184084.55,184021.5405,183901.7175,183510.4099,182
2020.06.12 02:10,183919,183925,183866,183885,-1,183895.5,184113.75,184009.8786,183895.7695,183501.8942,59
2020.06.12 02:05,183917,183988,183889,183923,1,183938.5,184140.1,183996.4048,183889.6963,183493.3789,99
2020.06.12 02:00,183937,183986,183888,183915,-1,183937,184171,183981.2595,183883.5595,183484.8609,98
2020.06.12 01:55,184072,184084,183925,183934,-1,184004.5,184195.75,183964.819,183877.4117,183476.3359,159
2020.06.12 01:50,184054,184104,184048,184068,1,184076,184195.6,183948.381,183871.273,183467.799,56
2020.06.12 01:45,184107,184146,183992,184052,-1,184069,184189.6,183933.1405,183865.1308,183459.2453,154
2020.06.12 01:40,184197,184218,184091,184152,-1,184154.5,184168.15,183919.5738,183858.9786,183450.6702,127
2020.06.12 01:35,184294,184304,184167,184200,-1,184235.5,184131.7,183908.1905,183852.8055,183442.0704,137
2020.06.12 01:30,184223,184340,184180,184294,1,184260,184088.25,183899.1952,183846.5897,183433.4435,160
2020.06.12 01:25,184200,184350,184200,184223,1,184275,184046.8,183892.6595,183840.3168,183424.7875,150
2020.06.12 01:20,184202,184246,184129,184200,-1,184187.5,184009.7,183888.2786,183833.9745,183416.1013,117
2020.06.12 01:15,184237,184276,184128,184222,-1,184202,183980.45,183885.7119,183827.5429,183407.3847,148
2020.06.12 01:10,184240,184306,184186,184216,-1,184246,183952.3,183884.9548,183820.9878,183398.6385,120
2020.06.12 01:05,184193,184342,184162,184238,1,184252,183915.95,183886.0786,183814.2838,183389.8644,180
2020.06.12 01:00,184057,184278,183871,184193,1,184074.5,183900.6,183887.9262,183807.4267,183381.0643,407
2020.06.12 00:55,183923,184121,183897,184057,1,184009,183893.6,183890.3881,183800.4181,183372.2407,224
2020.06.12 00:50,183932,184017,183863,183924,-1,183940,183874.5,183893.6857,183793.2332,183363.3965,154
2020.06.12 00:45,183839,183945,183797,183940,1,183871,183868.25,183896.9143,183785.8623,183354.5349,148
2020.06.12 00:40,183845,183873,183778,183839,-1,183825.5,183870.85,183899.7024,183778.3001,183345.6596,95
2020.06.12 00:35,183847,183888,183833,183845,-1,183860.5,183871.1,183902.3976,183770.5252,183336.7751,55
2020.06.12 00:30,183836,183854,183779,183848,1,183816.5,183874.35,183904.95,183762.5033,183327.887,75
2020.06.12 00:25,184003,184003,183816,183816,-1,183909.5,183868.85,183907.8071,183754.1842,183319.0013,187
2020.06.12 00:20,183926,184003,183926,184003,1,183964.5,183857.15,183911.2381,183745.5172,183310.1252,77
2020.06.12 00:15,183897,183938,183839,183923,1,183888.5,183852.95,183915.1,183736.4493,183301.2671,99
2020.06.12 00:10,183980,183980,183862,183883,-1,183921,183850.5,183918.8714,183726.9545,183292.4367,118
2020.06.12 00:05,183900,184003,183875,183980,1,183939,183850.4,183922.0333,183717.001,183283.6442,128
2020.06.12 00:00,183772,183926,183572,183900,1,183749,183869.55,183923.8214,183706.5711,183274.9004,354
2020.06.11 23:55,183824,183848,183769,183772,-1,183808.5,183883.25,183924.7833,183695.6319,183266.2165,79
2020.06.11 23:50,183863,183892,183811,183818,-1,183851.5,183892.65,183924.9667,183684.1554,183257.6039,81
2020.06.11 23:45,183853,183891,183835,183868,1,183863,183899.35,183924.1952,183672.1326,183249.0745,56
2020.06.11 23:40,183856,183883,183815,183846,-1,183849,183909.55,183922.2119,183659.5802,183240.6398,68
2020.06.11 23:35,183855,183876,183833,183856,1,183854.5,183917.7,183918.8738,183646.5441,183232.3114,43
2020.06.11 23:30,183840,183874,183821,183855,1,183847.5,183926.55,183913.6119,183633.0787,183224.0997,53
2020.06.11 23:25,183865,183869,183824,183840,-1,183846.5,183936.4,183906.0619,183619.2594,183216.0141,45
2020.06.11 23:20,183912,183928,183865,183865,-1,183896.5,183939.55,183896.8071,183605.1311,183208.0637,63
2020.06.11 23:15,183947,183967,183909,183912,-1,183938,183939.4,183885.9762,183590.7725,183200.2564,58
2020.06.11 23:10,183938,183973,183908,183949,1,183940.5,183945.3,183873.5167,183576.2638,183192.5997,65
2020.06.11 23:05,183939,183981,183910,183938,-1,183945.5,183943.75,183859.6405,183561.6944,183185.0993,71
2020.06.11 23:00,183930,183993,183898,183941,1,183945.5,183936.05,183844.6762,183547.1649,183177.76,95
2020.06.11 22:55,183941,184000,183860,183939,-1,183930,183929.4,183828.45,183532.779,183170.5849,140
2020.06.11 22:50,183957,183987,183915,183937,-1,183951,183927.7,183810.9405,183518.6405,183163.5755,72
2020.06.11 22:45,183956,183982,183890,183935,-1,183936,183927.95,183792.469,183504.8373,183156.732,92
2020.06.11 22:40,183974,183990,183882,183951,-1,183936,183928.85,183773.3095,183491.4493,183150.0535,108
2020.06.11 22:35,183904,183991,183899,183986,1,183945,183929.2,183754.1143,183478.5097,183143.5381,92
2020.06.11 22:30,183920,183976,183880,183902,-1,183928,183934.05,183735.2571,183466.0538,183137.1829,96
2020.06.11 22:25,183944,183979,183894,183925,-1,183936.5,183929.7,183717.3786,183454.0831,183130.9843,85
2020.06.11 22:20,183960,184061,183938,183944,-1,183999.5,183916.8,183700.4643,183442.6113,183124.9385,123
2020.06.11 22:15,183933,184001,183859,183960,1,183930,183907.1,183684.4167,183431.6546,183119.0413,142
2020.06.11 22:10,183810,183945,183792,183932,1,183868.5,183903.45,183669.0262,183421.2125,183113.2887,153
2020.06.11 22:05,183874,183925,183802,183806,-1,183863.5,183896.5,183655.0286,183411.2514,183107.676,123
2020.06.11 22:00,183915,183996,183872,183874,-1,183934,183883.15,183642.7452,183401.7146,183102.1986,124
2020.06.11 21:55,183945,183985,183892,183921,-1,183938.5,183867.9,183631.9167,183392.5363,183096.8522,93
2020.06.11 21:50,183976,183976,183914,183935,-1,183945,183847.6,183622.9238,183383.6457,183091.6321,62
2020.06.11 21:45,183979,183997,183900,183975,-1,183948.5,183816.05,183615.5619,183375.0214,183086.5341,97
