UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,171212,171216,171188,171204,-1,171202,171232.8,171250.5857,171426.7829,171479.8217,28
2020.06.12 06:35,171209,171234,171182,171212,1,171208,171232.9,171255.8786,171433.7248,171478.4112,52
2020.06.12 06:30,171221,171228,171168,171209,-1,171198,171232.75,171262.031,171440.6774,171476.8777,60
2020.06.12 06:25,171224,171255,171181,171217,-1,171218,171229.35,171269.4929,171447.6101,171475.2214,74
2020.06.12 06:20,171249,171281,171215,171224,-1,171248,171224.65,171278.5548,171454.4812,171473.4431,66
2020.06.12 06:15,171263,171273,171216,171249,-1,171244.5,171221.8,171288.7548,171461.2494,171471.5438,57
2020.06.12 06:10,171245,171277,171239,171263,1,171258,171217.65,171300.0333,171467.8869,171469.524,38
2020.06.12 06:05,171263,171267,171233,171245,-1,171250,171211.5,171312.0071,171474.3831,171467.3845,34
2020.06.12 06:00,171271,171276,171220,171263,-1,171248,171208.1,171324.2857,171480.7241,171465.125,56
2020.06.12 05:55,171200,171293,171188,171271,1,171240.5,171208.6,171336.9071,171486.8921,171462.7456,105
2020.06.12 05:50,171238,171240,171190,171200,-1,171215,171216.1,171349.7857,171492.8705,171460.2454,50
2020.06.12 05:45,171212,171238,171180,171238,1,171209,171227.8,171362.3262,171498.6576,171457.6232,58
2020.06.12 05:40,171169,171234,171159,171212,1,171196.5,171239.3,171373.9524,171504.2498,171454.8774,75
2020.06.12 05:35,171203,171208,171160,171169,-1,171184,171254.85,171384.5429,171509.6385,171452.0063,48
2020.06.12 05:30,171226,171236,171166,171203,-1,171201,171261.85,171394.531,171514.8077,171449.009,70
2020.06.12 05:25,171204,171240,171192,171226,1,171216,171263.5,171404.2786,171519.7401,171445.8846,48
2020.06.12 05:20,171203,171242,171191,171199,-1,171216.5,171270.25,171413.35,171524.4287,171442.6322,51
2020.06.12 05:15,171175,171214,171163,171203,1,171188.5,171281.95,171421.5143,171528.8722,171439.2505,51
2020.06.12 05:10,171248,171258,171170,171175,-1,171214,171296.8,171429.0238,171533.0739,171435.7377,88
2020.06.12 05:05,171272,171293,171198,171248,-1,171245.5,171311.65,171435.8095,171537.0332,171432.0913,95
2020.06.12 05:00,171312,171326,171254,171270,-1,171290,171322.1,171441.9071,171540.7446,171428.3084,72
2020.06.12 04:55,171316,171349,171303,171312,-1,171326,171328.85,171447.7548,171544.1945,171424.3853,46
2020.06.12 04:50,171346,171366,171257,171316,-1,171311.5,171344.05,171453.3357,171547.3786,171420.3184,109
2020.06.12 04:45,171317,171367,171312,171346,1,171339.5,171361.95,171458.3929,171550.3056,171416.1032,55
2020.06.12 04:40,171221,171322,171220,171317,1,171271,171386.05,171462.5571,171552.9981,171411.7353,102
2020.06.12 04:35,171242,171264,171201,171221,-1,171232.5,171414.95,171465.6405,171555.4786,171407.2098,63
2020.06.12 04:30,171292,171325,171243,171243,-1,171284,171436,171468.3476,171557.7496,171402.5226,82
2020.06.12 04:25,171340,171340,171271,171291,-1,171305.5,171454.5,171471.0571,171559.8043,171397.6701,69
2020.06.12 04:20,171385,171385,171340,171340,-1,171362.5,171462.95,171473.8548,171561.622,171392.6498,45
2020.06.12 04:15,171386,171429,171359,171385,-1,171394,171465.95,171476.9214,171563.1822,171387.4602,70
2020.06.12 04:10,171383,171414,171375,171389,1,171394.5,171473.65,171480.2048,171564.4731,171382.1012,39
2020.06.12 04:05,171424,171436,171351,171388,-1,171393.5,171486.55,171483.1905,171565.4889,171376.5733,85
2020.06.12 04:00,171514,171523,171404,171427,-1,171463.5,171491.15,171486.2071,171566.2271,171370.8786,119
2020.06.12 03:55,171521,171539,171498,171519,-1,171518.5,171483.45,171489.6286,171566.6905,171365.0196,41
2020.06.12 03:50,171535,171546,171478,171521,-1,171512,171477.25,171493.6381,171566.8816,171358.9995,68
2020.06.12 03:45,171501,171544,171499,171530,1,171521.5,171471.6,171498.4357,171566.8056,171352.8216,45
2020.06.12 03:40,171465,171537,171452,171501,1,171494.5,171468.2,171503.75,171566.4791,171346.4901,85
2020.06.12 03:35,171458,171525,171456,171467,1,171490.5,171460.75,171509.5214,171565.9101,171340.0097,69
2020.06.12 03:30,171422,171482,171412,171457,1,171447,171453.4,171515.9595,171565.113,171333.3858,70
2020.06.12 03:25,171476,171485,171363,171422,-1,171424,171454.5,171522.3143,171564.1147,171326.6239,122
2020.06.12 03:20,171485,171498,171445,171476,-1,171471.5,171454.15,171528.3905,171562.9515,171319.7296,53
2020.06.12 03:15,171557,171575,171470,171480,-1,171522.5,171450.15,171534.6762,171561.6473,171312.7085,105
2020.06.12 03:10,171449,171574,171445,171556,1,171509.5,171451.65,171541.1762,171560.1997,171305.5666,129
2020.06.12 03:05,171425,171473,171410,171450,1,171441.5,171461.25,171547.7452,171558.5865,171298.31,63
2020.06.12 03:00,171449,171492,171408,171425,-1,171450,171468.15,171554.3786,171556.7616,171290.9457,84
2020.06.12 02:55,171466,171489,171441,171459,-1,171465,171473.5,171560.9905,171554.663,171283.4816,48
2020.06.12 02:50,171432,171512,171409,171466,1,171460.5,171479.7,171567.6024,171552.2276,171275.9263,103
2020.06.12 02:45,171399,171440,171392,171409,1,171416,171492.85,171574.0119,171549.4132,171268.2894,48
2020.06.12 02:40,171400,171404,171343,171402,1,171373.5,171511.4,171579.7881,171546.1832,171260.5815,61
2020.06.12 02:35,171465,171479,171391,171409,-1,171435,171521.7,171585.4429,171542.4978,171252.814,88
2020.06.12 02:30,171483,171493,171443,171466,-1,171468,171530.35,171591.3429,171538.3113,171244.9994,50
2020.06.12 02:25,171498,171510,171455,171483,-1,171482.5,171542.6,171596.9524,171533.5939,171237.1508,55
2020.06.12 02:20,171515,171549,171500,171501,-1,171524.5,171549.25,171602.131,171528.3448,171229.2816,49
2020.06.12 02:15,171526,171567,171508,171515,-1,171537.5,171554.5,171606.8571,171522.5661,171221.4056,59
2020.06.12 02:10,171516,171541,171497,171526,1,171519,171555.3,171611.169,171516.284,171213.5367,44
2020.06.12 02:05,171492,171547,171490,171517,1,171518.5,171561.45,171614.419,171509.5534,171205.6883,57
2020.06.12 02:00,171541,171564,171481,171493,-1,171522.5,171572.35,171616.2548,171502.4356,171197.8732,83
2020.06.12 01:55,171572,171577,171518,171539,-1,171547.5,171579.8,171616.8071,171494.9766,171190.1033,59
2020.06.12 01:50,171544,171586,171532,171573,1,171559,171581.95,171616.3714,171487.2218,171182.3895,54
2020.06.12 01:45,171528,171561,171515,171544,1,171538,171588.6,171614.9619,171479.219,171174.7421,46
2020.06.12 01:40,171592,171599,171510,171546,-1,171554.5,171587.95,171612.5833,171471.0192,171167.1708,89
2020.06.12 01:35,171614,171637,171573,171593,-1,171605,171581.75,171609.6976,171462.6562,171159.6854,64
2020.06.12 01:30,171587,171624,171558,171614,1,171591,171582.15,171606.0595,171454.1682,171152.2957,66
2020.06.12 01:25,171548,171634,171546,171588,1,171590,171588.15,171601.4976,171445.615,171145.0112,88
2020.06.12 01:20,171538,171567,171487,171552,1,171527,171599.2,171596.1,171437.0599,171137.8406,80
2020.06.12 01:15,171642,171661,171499,171538,-1,171580,171607.45,171590.2524,171428.5613,171130.7919,162
2020.06.12 01:10,171657,171664,171599,171644,-1,171631.5,171612.35,171584.2548,171420.1772,171123.8722,65
2020.06.12 01:05,171607,171668,171576,171652,1,171622,171618.55,171578.3333,171411.9668,171117.0873,92
2020.06.12 01:00,171603,171686,171475,171607,1,171580.5,171627.45,171572.3,171403.9891,171110.4418,211
2020.06.12 00:55,171615,171651,171558,171585,-1,171604.5,171632.7,171566,171396.3061,171103.9384,93
2020.06.12 00:50,171469,171638,171458,171615,1,171548,171640.45,171559.4119,171388.9661,171097.5782,180
2020.06.12 00:45,171616,171629,171457,171474,-1,171543,171654.25,171552.0143,171382.0363,171091.3606,172
2020.06.12 00:40,171617,171654,171536,171622,1,171595,171660.4,171544.0119,171375.5681,171085.2831,118
2020.06.12 00:35,171639,171676,171624,171629,-1,171650,171658,171535.7119,171369.5848,171079.342,52
2020.06.12 00:30,171650,171651,171624,171639,-1,171637.5,171653.75,171526.869,171364.1059,171073.5325,27
2020.06.12 00:25,171647,171707,171618,171676,1,171662.5,171645.85,171517.95,171359.1127,171067.849,89
2020.06.12 00:20,171675,171732,171629,171641,-1,171680.5,171629.7,171509.5571,171354.5595,171062.2864,103
2020.06.12 00:15,171731,171741,171627,171675,-1,171684,171610.9,171501.8524,171350.3866,171056.8396,114
2020.06.12 00:10,171678,171732,171607,171727,1,171669.5,171591.4,171495.1714,171346.5285,171051.5046,125
2020.06.12 00:05,171653,171709,171605,171678,1,171657,171572.8,171489.7071,171342.9105,171046.2777,104
2020.06.12 00:00,171743,171743,171508,171653,-1,171625.5,171559,171485.0548,171339.4558,171041.1556,235
2020.06.11 23:55,171654,171756,171606,171743,1,171681,171538,171481.6833,171336.0801,171036.1356,150
2020.06.11 23:50,171625,171694,171619,171665,1,171656.5,171521.15,171479.3881,171332.7198,171031.2151,75
2020.06.11 23:45,171619,171648,171604,171621,1,171626,171505.75,171478.3738,171329.3188,171026.3915,44
2020.06.11 23:40,171585,171625,171565,171613,1,171595,171492.35,171478.5952,171325.8248,171021.6623,60
2020.06.11 23:35,171568,171619,171548,171585,1,171583.5,171485.85,171478.9286,171322.2221,171017.0247,71
2020.06.11 23:30,171505,171568,171470,171568,1,171519,171484.65,171478.381,171318.5276,171012.4753,98
2020.06.11 23:25,171494,171514,171478,171505,1,171496,171486.4,171475.9071,171314.7803,171008.01,36
2020.06.11 23:20,171457,171520,171429,171494,1,171474.5,171494.2,171470.7476,171311.015,171003.6246,91
2020.06.11 23:15,171487,171490,171452,171457,-1,171471,171500.75,171462.881,171307.2575,170999.315,38
2020.06.11 23:10,171474,171529,171446,171487,1,171487.5,171500.4,171452.9952,171303.5123,170995.0774,83
2020.06.11 23:05,171482,171502,171440,171471,-1,171471,171502.1,171440.8952,171299.773,170990.9085,62
2020.06.11 23:00,171469,171532,171444,171489,1,171488,171498.9,171426.9714,171296.0047,170986.8054,88
2020.06.11 22:55,171451,171509,171435,171474,1,171472,171492.35,171411.3238,171292.1714,170982.7663,74
2020.06.11 22:50,171503,171512,171410,171451,-1,171461,171483.7,171394.1024,171288.2383,170978.79,102
2020.06.11 22:45,171507,171544,171493,171502,-1,171518.5,171468.05,171376.4214,171284.1554,170974.8766,51
2020.06.11 22:40,171484,171546,171468,171504,1,171507,171458.55,171358.3714,171279.8808,170971.0269,78
2020.06.11 22:35,171528,171550,171477,171484,-1,171513.5,171453.45,171341.0405,171275.3565,170967.242,73
2020.06.11 22:30,171575,171603,171502,171527,-1,171552.5,171449.1,171325.0024,171270.527,170963.5231,101
2020.06.11 22:25,171495,171592,171481,171573,1,171536.5,171451.1,171310.1905,171265.3579,170959.8717,111
2020.06.11 22:20,171479,171519,171449,171495,1,171484,171458.05,171296.0714,171259.8579,170956.2885,70
2020.06.11 22:15,171508,171527,171449,171477,-1,171488,171461.3,171282.9119,171254.0422,170952.7743,78
2020.06.11 22:10,171392,171528,171384,171499,1,171456,171467.2,171270.8429,171247.9163,170949.3299,144
2020.06.11 22:05,171414,171446,171367,171392,-1,171406.5,171472.95,171259.9905,171241.4676,170945.9555,79
2020.06.11 22:00,171353,171425,171324,171413,1,171374.5,171484.45,171250.0905,171234.6635,170942.6517,101
2020.06.11 21:55,171404,171416,171308,171357,-1,171362,171497,171241.0738,171227.4621,170939.4189,108
2020.06.11 21:50,171444,171453,171371,171404,-1,171412,171492.85,171233.7095,171219.8009,170936.2583,82
2020.06.11 21:45,171514,171514,171411,171445,-1,171462.5,171473.15,171228.2333,171211.6256,170933.1714,103
2020.06.11 21:40,171526,171543,171475,171506,-1,171509,171434.45,171224.8119,171202.8884,170930.1605,68
2020.06.11 21:35,171556,171595,171518,171526,-1,171556.5,171385.85,171223.7405,171193.5537,170927.2282,77
2020.06.11 21:30,171534,171589,171518,171556,1,171553.5,171335.55,171225.2833,171183.5893,170924.3775,71
2020.06.11 21:25,171496,171548,171493,171534,1,171520.5,171292.8,171229.2595,171172.9848,170921.6117,55
2020.06.11 21:20,171463,171570,171460,171497,1,171515,171248,171235.6333,171161.7621,170918.9339,110
2020.06.11 21:15,171461,171506,171422,171465,1,171464,171206.5,171243.7881,171149.9643,170916.347,84
2020.06.11 21:10,171427,171560,171419,171460,1,171489.5,171163.75,171254.0333,171137.6386,170913.8534,141
2020.06.11 21:05,171404,171571,171404,171428,1,171487.5,171122.05,171265.8786,171124.8528,170911.4548,167
