UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,118650,118654,118626,118642,-1,118640,118629.55,118619.9476,118650.9488,118762.9198,28
2020.06.12 06:35,118632,118653,118622,118650,1,118637.5,118627.9,118616.7976,118654.5518,118762.7081,31
2020.06.12 06:30,118642,118663,118613,118632,-1,118638,118626.25,118613.7905,118658.3971,118762.4306,50
2020.06.12 06:25,118623,118650,118617,118644,1,118633.5,118626.85,118610.9,118662.4828,118762.0921,33
2020.06.12 06:20,118600,118626,118589,118623,1,118607.5,118628.85,118608.0262,118666.8087,118761.6978,37
2020.06.12 06:15,118627,118630,118589,118600,-1,118609.5,118632.15,118605.2929,118671.3713,118761.253,41
2020.06.12 06:10,118647,118651,118622,118628,-1,118636.5,118635.7,118602.6714,118676.1703,118760.763,29
2020.06.12 06:05,118647,118650,118621,118647,0,118635.5,118640.4,118600.0857,118681.2115,118760.233,29
2020.06.12 06:00,118657,118668,118626,118645,-1,118647,118642.4,118597.6738,118686.494,118759.6678,42
2020.06.12 05:55,118627,118658,118592,118657,1,118625,118645.3,118595.3976,118692.0168,118759.0722,66
2020.06.12 05:50,118629,118634,118617,118627,-1,118625.5,118645.35,118593.4167,118697.7702,118758.4515,17
2020.06.12 05:45,118611,118635,118607,118629,1,118621,118643.9,118591.8571,118703.7424,118757.8109,28
2020.06.12 05:40,118623,118638,118605,118611,-1,118621.5,118640.85,118590.719,118709.9283,118757.156,33
2020.06.12 05:35,118628,118656,118623,118625,-1,118639.5,118634.2,118590.3833,118716.296,118756.4932,33
2020.06.12 05:30,118632,118638,118617,118627,-1,118627.5,118628.15,118591.0286,118722.8025,118755.8296,21
2020.06.12 05:25,118649,118660,118625,118637,-1,118642.5,118619.45,118592.7071,118729.3964,118755.1731,35
2020.06.12 05:20,118685,118707,118637,118649,-1,118672,118607,118595.3929,118736.028,118754.5318,70
2020.06.12 05:15,118691,118693,118672,118685,-1,118682.5,118595.65,118599.0976,118742.6444,118753.9149,21
2020.06.12 05:10,118665,118696,118638,118693,1,118667,118585.9,118603.7524,118749.1978,118753.3317,58
2020.06.12 05:05,118659,118670,118638,118665,1,118654,118577.6,118609.2095,118755.6416,118752.7922,32
2020.06.12 05:00,118609,118661,118591,118659,1,118626,118570.95,118615.4333,118761.9344,118752.306,70
2020.06.12 04:55,118617,118629,118584,118609,-1,118606.5,118564.1,118622.2452,118768.0445,118751.883,45
2020.06.12 04:50,118572,118620,118562,118617,1,118591,118561.75,118629.3762,118773.9498,118751.5323,58
2020.06.12 04:45,118574,118587,118559,118574,0,118573,118563.1,118636.5667,118779.6476,118751.2626,28
2020.06.12 04:40,118569,118588,118546,118574,1,118567,118566.15,118643.7286,118785.1208,118751.082,42
2020.06.12 04:35,118554,118575,118536,118572,1,118555.5,118568.5,118650.969,118790.3525,118750.9987,39
2020.06.12 04:30,118562,118567,118528,118554,-1,118547.5,118574.75,118658.0881,118795.3311,118751.0199,39
2020.06.12 04:25,118574,118586,118552,118562,-1,118569,118580.65,118665.0024,118800.0514,118751.1528,34
2020.06.12 04:20,118556,118592,118547,118574,1,118569.5,118586.1,118671.7262,118804.5029,118751.4037,45
2020.06.12 04:15,118578,118595,118547,118557,-1,118571,118591.75,118678.3738,118808.6787,118751.7787,48
2020.06.12 04:10,118538,118586,118533,118578,1,118559.5,118597.5,118684.8571,118812.5788,118752.2835,53
2020.06.12 04:05,118534,118557,118519,118538,1,118538,118603.75,118690.9833,118816.2081,118752.923,38
2020.06.12 04:00,118591,118608,118527,118534,-1,118567.5,118611.15,118696.819,118819.5751,118753.702,81
2020.06.12 03:55,118577,118610,118563,118595,1,118586.5,118616.95,118702.4452,118822.6788,118754.6244,47
2020.06.12 03:50,118581,118620,118575,118577,-1,118597.5,118627.15,118707.8429,118825.5327,118755.6939,45
2020.06.12 03:45,118573,118592,118566,118574,1,118579,118641.7,118712.9524,118828.1595,118756.9131,26
2020.06.12 03:40,118649,118649,118571,118584,-1,118610,118654.7,118717.9595,118830.579,118758.2842,78
2020.06.12 03:35,118623,118654,118602,118649,1,118628,118663.4,118723.35,118832.7917,118759.8093,52
2020.06.12 03:30,118643,118649,118599,118623,-1,118624,118673.45,118729.1786,118834.8012,118761.49,50
2020.06.12 03:25,118646,118648,118607,118643,-1,118627.5,118683.65,118735.2143,118836.6098,118763.3275,41
2020.06.12 03:20,118583,118652,118582,118646,1,118617,118692.2,118741.5667,118838.2176,118765.3228,70
2020.06.12 03:15,118629,118629,118572,118596,-1,118600.5,118701.65,118748.4048,118839.6168,118767.4765,57
2020.06.12 03:10,118642,118665,118618,118629,-1,118641.5,118707.15,118755.8262,118840.7902,118769.7889,47
2020.06.12 03:05,118672,118672,118617,118642,-1,118644.5,118711.5,118763.6905,118841.7339,118772.2602,55
2020.06.12 03:00,118702,118745,118654,118674,-1,118699.5,118714.1,118771.7262,118842.4506,118774.8904,91
2020.06.12 02:55,118750,118760,118689,118703,-1,118724.5,118716.55,118779.1357,118842.9511,118777.679,71
2020.06.12 02:50,118705,118775,118705,118750,1,118740,118720.55,118786.5881,118843.2288,118780.6254,70
2020.06.12 02:45,118721,118729,118701,118707,-1,118715,118724.25,118794.0381,118843.2785,118783.729,28
2020.06.12 02:40,118730,118738,118711,118721,-1,118724.5,118725.85,118801.4833,118843.0874,118786.9894,27
2020.06.12 02:35,118715,118748,118711,118730,1,118729.5,118727.3,118809.0286,118842.6369,118790.4065,37
2020.06.12 02:30,118680,118725,118680,118715,1,118702.5,118731.35,118816.8571,118841.898,118793.9809,45
2020.06.12 02:25,118701,118717,118673,118681,-1,118695,118733.65,118824.8238,118840.8451,118797.7137,44
2020.06.12 02:20,118677,118722,118671,118701,1,118696.5,118732.4,118832.8762,118839.4542,118801.6065,51
2020.06.12 02:15,118715,118718,118658,118681,-1,118688,118733.7,118840.8119,118837.6949,118805.6613,60
2020.06.12 02:10,118719,118738,118713,118715,-1,118725.5,118735.1,118848.6619,118835.5465,118809.8802,25
2020.06.12 02:05,118772,118783,118715,118719,-1,118749,118740.5,118856.7167,118832.9784,118814.2655,68
2020.06.12 02:00,118768,118808,118752,118772,1,118780,118749,118864.1905,118829.9704,118818.82,56
2020.06.12 01:55,118748,118776,118728,118768,1,118752,118759.85,118870.8095,118826.5092,118823.5465,48
2020.06.12 01:50,118740,118755,118726,118754,1,118740.5,118776.6,118876.2452,118822.5926,118828.4476,29
2020.06.12 01:45,118742,118768,118720,118740,-1,118744,118795.85,118880.5524,118818.2303,118833.5254,48
2020.06.12 01:40,118743,118762,118724,118744,1,118743,118810.4,118883.6024,118813.4374,118838.7818,38
2020.06.12 01:35,118683,118754,118682,118738,1,118718,118825.6,118885.55,118808.2207,118844.2183,72
2020.06.12 01:30,118670,118711,118657,118687,1,118684,118845.25,118886.2929,118802.5993,118849.8361,54
2020.06.12 01:25,118719,118744,118658,118671,-1,118701,118863,118886.0238,118796.5941,118855.6364,86
2020.06.12 01:20,118740,118761,118718,118719,-1,118739.5,118876.65,118884.9786,118790.2134,118861.6203,43
