UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,13442500,13442700,13439000,13442100,-1,13440850,13421100,13414567.62,13415913.49,13449212.27,3700
2020.06.12 06:35,13433100,13446500,13433100,13442600,1,13439800,13419510,13413412.14,13416427.74,13449821.45,13400
2020.06.12 06:30,13421500,13433800,13418900,13433000,1,13426350,13419255,13412259.76,13416991.85,13450429.76,14900
2020.06.12 06:25,13417100,13423100,13415200,13421800,1,13419150,13420140,13411063.81,13417608.27,13451036.99,7900
2020.06.12 06:20,13413900,13417400,13411400,13417100,1,13414400,13421255,13409806.43,13418279.11,13451642.9,6000
2020.06.12 06:15,13415700,13417300,13410600,13413800,-1,13413950,13421930,13408533.33,13419005.97,13452247.29,6700
2020.06.12 06:10,13418300,13418300,13412000,13415700,-1,13415150,13422850,13407248.57,13419791.02,13452849.9,6300
2020.06.12 06:05,13418300,13419300,13415000,13418300,0,13417150,13423510,13406017.62,13420635.06,13453450.46,4300
2020.06.12 06:00,13422100,13425900,13416600,13418300,-1,13421250,13423465,13404860.95,13421538.39,13454048.67,9300
2020.06.12 05:55,13424000,13424000,13417200,13422100,-1,13420600,13423030,13403816.9,13422499.26,13454644.27,6800
2020.06.12 05:50,13423000,13425500,13420900,13424100,1,13423200,13422040,13402903.33,13423514.87,13455237.03,4600
2020.06.12 05:45,13421800,13426800,13421000,13422800,1,13423900,13420955,13402166.19,13424580.81,13455826.84,5800
2020.06.12 05:40,13424400,13426500,13421100,13421900,-1,13423800,13418790,13401660.95,13425691.13,13456413.64,5400
2020.06.12 05:35,13429200,13432100,13423900,13424300,-1,13428000,13415510,13401484.29,13426837.26,13456997.52,8200
2020.06.12 05:30,13423600,13429300,13421800,13429200,1,13425550,13412305,13401653.81,13428009.98,13457578.7,7500
2020.06.12 05:25,13418400,13424800,13416600,13423600,1,13420700,13409770,13402126.43,13429199.84,13458157.52,8200
2020.06.12 05:20,13427100,13431000,13417700,13418400,-1,13424350,13407055,13402856.19,13430398.07,13458734.4,13300
