UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,195896,195927,195895,195895,-1,195911,195941.3,195846.1857,195997.5213,196002.1363,32
2020.06.12 06:35,195975,196006,195856,195899,-1,195931,195929.9,195852.1429,196001.8919,195999.2307,150
2020.06.12 06:30,195956,196005,195931,195975,1,195968,195908.5,195859.931,196006.1973,195996.0719,74
2020.06.12 06:25,195955,195998,195927,195956,1,195962.5,195884.45,195869.6571,196010.3679,195992.658,71
2020.06.12 06:20,195981,196030,195943,195955,-1,195986.5,195859.2,195881.0881,196014.3447,195988.989,87
2020.06.12 06:15,195957,195992,195937,195981,1,195964.5,195832.85,195893.7381,196018.0901,195985.0663,55
2020.06.12 06:10,195923,195976,195912,195957,1,195944,195799.5,195907.7476,196021.5473,195980.8932,64
2020.06.12 06:05,195956,195993,195897,195923,-1,195945,195765.25,195922.619,196024.6844,195976.4746,96
2020.06.12 06:00,195951,196002,195911,195956,1,195956.5,195738.35,195938.2786,196027.4708,195971.8165,91
2020.06.12 05:55,195848,195997,195819,195951,1,195908,195722.55,195954.5905,196029.8812,195966.9262,178
2020.06.12 05:50,195832,195880,195814,195848,1,195847,195720.35,195971.3548,196031.8762,195961.8118,66
2020.06.12 05:45,195776,195876,195758,195832,1,195817,195726.05,195988.1333,196033.4176,195956.4828,118
2020.06.12 05:40,195755,195792,195716,195776,1,195754,195747.25,196003.5929,196034.4898,195950.9494,76
2020.06.12 05:35,195704,195776,195668,195754,1,195722,195774.95,196017.3762,196035.0994,195945.2226,108
2020.06.12 05:30,195695,195787,195681,195704,1,195734,195795.5,196029.9214,196035.2515,195939.3141,106
2020.06.12 05:25,195639,195776,195626,195695,1,195701,195818.85,196041.0286,196034.9746,195933.2361,150
2020.06.12 05:20,195610,195671,195550,195639,1,195610.5,195860.5,196049.7405,196034.3437,195926.9998,121
2020.06.12 05:15,195621,195634,195571,195610,-1,195602.5,195905.35,196056.2095,196033.4293,195920.6155,63
2020.06.12 05:10,195726,195754,195621,195621,-1,195687.5,195948.3,196060.1738,196032.3182,195914.092,133
2020.06.12 05:05,195787,195815,195685,195725,-1,195750,195983.4,196061.9238,196031.0847,195907.4369,130
2020.06.12 05:00,195835,195890,195760,195787,-1,195825,196012.15,196061.3262,196029.8109,195900.6565,130
2020.06.12 04:55,195907,195915,195833,195835,-1,195874,196036.7,196058.619,196028.5667,195893.756,82
2020.06.12 04:50,196026,196029,195903,195907,-1,195966,196055,196054.481,196027.4143,195886.7393,126
2020.06.12 04:45,195962,196036,195962,196026,1,195999,196072.05,196049.0167,196026.4189,195879.6094,74
2020.06.12 04:40,195896,196009,195870,195962,1,195939.5,196088.7,196042.5381,196025.6491,195872.3682,139
2020.06.12 04:35,195951,195983,195886,195896,-1,195934.5,196099.25,196035.4143,196025.1549,195865.0168,97
2020.06.12 04:30,196026,196123,195931,195951,-1,196027,196098.5,196028.45,196024.9548,195857.556,192
2020.06.12 04:25,196089,196091,196011,196026,-1,196051,196093.7,196022.0095,196025.0699,195849.9863,80
2020.06.12 04:20,196086,196159,196075,196089,1,196117,196077.55,196016.7167,196025.4888,195842.3085,84
2020.06.12 04:15,196106,196146,196056,196086,-1,196101,196067.2,196012.181,196026.2121,195834.5237,90
2020.06.12 04:10,196131,196164,196061,196107,-1,196112.5,196065.1,196008.181,196027.2486,195826.6332,103
2020.06.12 04:05,196131,196167,196072,196135,1,196119.5,196072.4,196004.2167,196028.6143,195818.6388,95
2020.06.12 04:00,196223,196231,196067,196131,-1,196149,196078.4,196000.8048,196030.3152,195810.5427,164
2020.06.12 03:55,196131,196235,196104,196224,1,196169.5,196071.9,195998.6786,196032.338,195802.3473,131
2020.06.12 03:50,196082,196154,196058,196131,1,196106,196064.4,195998.2452,196034.6483,195794.0555,96
2020.06.12 03:45,195985,196095,195985,196076,1,196040,196058.95,195999.5405,196037.1916,195785.6712,110
2020.06.12 03:40,196000,196061,195978,195990,-1,196019.5,196052.1,196002.5452,196039.909,195777.1995,83
2020.06.12 03:35,195942,196068,195938,196009,1,196003,196043.45,196006.5071,196042.7413,195768.6468,130
2020.06.12 03:30,195991,196015,195896,195963,-1,195955.5,196041.2,196010.7476,196045.6581,195760.0205,119
2020.06.12 03:25,196027,196051,195944,195991,-1,195997.5,196031.55,196015.2905,196048.6112,195751.3285,107
2020.06.12 03:20,196174,196174,196009,196027,-1,196091.5,196020.15,196019.8048,196051.5567,195742.5793,165
2020.06.12 03:15,196183,196254,196131,196165,-1,196192.5,195999.6,196024.5857,196054.4435,195733.7813,123
2020.06.12 03:10,196147,196275,196143,196179,1,196209,195979.85,196029.5048,196057.2154,195724.9432,132
2020.06.12 03:05,196047,196170,196039,196147,1,196104.5,195968.1,196034.7643,196059.7935,195716.0746,131
2020.06.12 03:00,195997,196103,195959,196047,1,196031,195957.3,196040.0762,196062.093,195707.1852,144
2020.06.12 02:55,195927,196078,195893,195993,1,195985.5,195952.65,196045.0643,196064.0478,195698.2854,185
2020.06.12 02:50,195968,196004,195898,195927,-1,195951,195949.65,196048.9929,196065.612,195689.3849,106
2020.06.12 02:45,195935,195977,195856,195935,0,195916.5,195952.25,196052.0905,196066.74,195680.4938,121
