UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,125642,125643,125613,125631,-1,125628,125610.35,125598.781,125657.2573,125920.7841,30
2020.06.12 06:35,125625,125645,125615,125642,1,125630,125612.8,125593.4119,125662.5767,125926.7818,30
2020.06.12 06:30,125599,125625,125576,125624,1,125600.5,125617.65,125587.9667,125668.2125,125932.8275,49
2020.06.12 06:25,125578,125602,125567,125601,1,125584.5,125626.25,125582.5143,125674.1722,125938.92,35
2020.06.12 06:20,125576,125582,125552,125578,1,125567,125634.95,125577.2095,125680.4497,125945.0589,30
2020.06.12 06:15,125622,125627,125566,125576,-1,125596.5,125639.2,125572.5286,125687.0296,125951.2433,61
2020.06.12 06:10,125620,125638,125600,125620,0,125619,125644.45,125568.3643,125693.9043,125957.4724,38
2020.06.12 06:05,125606,125621,125586,125620,1,125603.5,125650.05,125564.6857,125701.0701,125963.7445,35
2020.06.12 06:00,125627,125643,125582,125607,-1,125612.5,125652.1,125561.5095,125708.5176,125970.0575,61
2020.06.12 05:55,125660,125660,125603,125627,-1,125631.5,125649.3,125559.1095,125716.2246,125976.4089,57
2020.06.12 05:50,125660,125669,125648,125660,0,125658.5,125640.75,125557.6381,125724.1627,125982.7963,21
2020.06.12 05:45,125642,125669,125640,125660,1,125654.5,125632.85,125556.8905,125732.3054,125989.217,29
2020.06.12 05:40,125641,125663,125635,125642,1,125649,125622.7,125557.0429,125740.619,125995.6684,28
2020.06.12 05:35,125673,125700,125641,125641,-1,125670.5,125607.3,125558.519,125749.0632,126002.1484,59
2020.06.12 05:30,125655,125678,125630,125673,1,125654,125591.8,125561.431,125757.5958,126008.6552,48
2020.06.12 05:25,125644,125659,125619,125656,1,125639,125578.3,125565.6667,125766.1679,126015.1871,40
2020.06.12 05:20,125678,125704,125639,125643,-1,125671.5,125559.95,125571.3548,125774.7267,126021.7432,65
2020.06.12 05:15,125652,125688,125631,125679,1,125659.5,125543.85,125578.4333,125783.217,126028.3231,57
2020.06.12 05:10,125616,125662,125604,125652,1,125633,125530.5,125586.9,125791.5833,126034.9267,58
2020.06.12 05:05,125600,125626,125581,125617,1,125603.5,125522.55,125596.4738,125799.7744,126041.554,45
2020.06.12 05:00,125587,125600,125546,125600,1,125573,125514.05,125607.3048,125807.7376,126048.2048,54
2020.06.12 04:55,125579,125601,125550,125587,1,125575.5,125503.05,125619.4357,125815.4317,126054.8786,51
2020.06.12 04:50,125519,125581,125514,125579,1,125547.5,125500.05,125632.219,125822.8301,126061.5747,67
2020.06.12 04:45,125507,125533,125500,125518,1,125516.5,125503.3,125645.169,125829.9156,126068.2917,33
2020.06.12 04:40,125524,125537,125461,125508,-1,125499,125511.75,125657.8524,125836.6806,126075.028,76
2020.06.12 04:35,125493,125527,125481,125524,1,125504,125523.55,125670.1643,125843.1253,126081.7822,46
2020.06.12 04:30,125504,125510,125466,125493,-1,125488,125540.9,125681.8905,125849.2559,126088.5526,44
2020.06.12 04:25,125508,125517,125480,125502,-1,125498.5,125557,125693.0024,125855.0846,126095.3377,37
2020.06.12 04:20,125505,125527,125472,125508,1,125499.5,125572.8,125703.3833,125860.6306,126102.1358,55
2020.06.12 04:15,125513,125554,125494,125505,-1,125524,125585.4,125713.1881,125865.9145,126108.9454,60
2020.06.12 04:10,125457,125521,125455,125515,1,125488,125598.9,125722.3857,125870.9605,126115.7649,66
2020.06.12 04:05,125470,125482,125449,125458,-1,125465.5,125609.85,125731.0119,125875.7858,126122.5928,33
2020.06.12 04:00,125552,125572,125463,125470,-1,125517.5,125617.15,125739.2738,125880.4145,126129.4281,109
2020.06.12 03:55,125559,125580,125518,125556,-1,125549,125625.9,125747.1262,125884.8788,126136.2698,62
2020.06.12 03:50,125591,125609,125558,125561,-1,125583.5,125638.3,125754.5381,125889.2089,126143.1168,51
2020.06.12 03:45,125654,125654,125590,125591,-1,125622,125652.95,125761.4119,125893.4457,126149.9677,64
2020.06.12 03:40,125676,125693,125630,125654,-1,125661.5,125667.25,125767.7857,125897.6332,126156.821,63
2020.06.12 03:35,125651,125689,125630,125679,1,125659.5,125679.4,125774.2119,125901.7983,126163.675,59
2020.06.12 03:30,125650,125684,125631,125650,0,125657.5,125692.5,125780.7357,125905.963,126170.5284,53
2020.06.12 03:25,125680,125689,125611,125650,-1,125650,125708.3,125787.1571,125910.1502,126177.3796,78
2020.06.12 03:20,125569,125680,125566,125680,1,125623,125723.6,125793.5976,125914.3801,126184.2273,114
2020.06.12 03:15,125577,125597,125553,125572,-1,125575,125741.5,125800.15,125918.6653,126191.0705,44
2020.06.12 03:10,125618,125628,125553,125577,-1,125590.5,125757.8,125807.0452,125922.9904,126197.9084,75
2020.06.12 03:05,125665,125666,125607,125618,-1,125636.5,125768.5,125814.3714,125927.3439,126204.7408,59
2020.06.12 03:00,125730,125777,125638,125665,-1,125707.5,125775.25,125822.15,125931.709,126211.5675,139
2020.06.12 02:55,125804,125819,125718,125730,-1,125768.5,125778.1,125830.3024,125936.0605,126218.3887,101
2020.06.12 02:50,125780,125831,125778,125808,1,125804.5,125782.1,125838.7833,125940.3781,126225.2051,53
2020.06.12 02:45,125775,125794,125768,125778,1,125781,125787.15,125847.1429,125944.6543,126232.0173,26
2020.06.12 02:40,125794,125802,125775,125775,-1,125788.5,125790.35,125855.4619,125948.8754,126238.8267,27
2020.06.12 02:35,125809,125832,125784,125794,-1,125808,125790.8,125863.9762,125953.0169,126245.6355,48
2020.06.12 02:30,125745,125818,125734,125809,1,125776,125791.3,125872.8167,125957.0524,126252.4468,84
2020.06.12 02:25,125748,125768,125740,125745,-1,125754,125792.05,125881.7524,125960.9656,126259.2645,28
2020.06.12 02:20,125749,125773,125734,125745,-1,125753.5,125791,125890.5119,125964.7677,126266.0924,39
2020.06.12 02:15,125769,125769,125718,125749,-1,125743.5,125790.65,125898.9762,125968.4612,126272.9351,51
2020.06.12 02:10,125774,125788,125762,125769,-1,125775,125790.8,125907.0262,125972.0671,126279.7967,26
2020.06.12 02:05,125820,125824,125770,125773,-1,125797,125793.95,125914.5286,125975.6162,126286.6817,54
2020.06.12 02:00,125861,125880,125809,125820,-1,125844.5,125797.3,125921.6167,125979.1231,126293.5945,71
2020.06.12 01:55,125818,125864,125799,125861,1,125831.5,125801.1,125928.3357,125982.5924,126300.5401,65
2020.06.12 01:50,125828,125829,125812,125818,-1,125820.5,125814.35,125934.2667,125986.0403,126307.523,17
2020.06.12 01:45,125786,125840,125785,125828,1,125812.5,125829.5,125939.381,125989.497,126314.5474,55
2020.06.12 01:40,125777,125797,125765,125785,1,125781,125843.15,125943.5167,125992.9947,126321.6171,32
2020.06.12 01:35,125744,125782,125741,125777,1,125761.5,125858.85,125946.65,125996.5583,126328.7356,41
2020.06.12 01:30,125724,125774,125712,125745,1,125743,125879.1,125948.6929,126000.2156,126335.9059,62
2020.06.12 01:25,125755,125782,125698,125724,-1,125740,125902.6,125949.7214,126004.0063,126343.1309,84
2020.06.12 01:20,125769,125799,125754,125755,-1,125776.5,125922.35,125950.281,126007.9497,126350.4136,45
2020.06.12 01:15,125896,125896,125761,125778,-1,125828.5,125938.6,125950.3524,126012.0752,126357.756,135
2020.06.12 01:10,125870,125903,125853,125900,1,125878,125949.3,125949.8452,126016.4259,126365.1599,50
2020.06.12 01:05,125901,125901,125838,125870,-1,125869.5,125960.2,125948.7476,126021.0391,126372.626,63
2020.06.12 01:00,125990,126008,125898,125901,-1,125953,125962.7,125947.2857,126025.9378,126380.1542,110
2020.06.12 00:55,125959,125994,125934,125987,1,125964,125965.05,125945.5071,126031.1429,126387.7437,60
2020.06.12 00:50,125904,125966,125869,125959,1,125917.5,125969.6,125943.6357,126036.669,126395.3932,97
2020.06.12 00:45,125924,125963,125874,125904,-1,125918.5,125976.95,125941.8595,126042.5419,126403.1002,89
2020.06.12 00:40,125981,125981,125910,125924,-1,125945.5,125979.7,125940.3952,126048.7891,126410.8612,71
2020.06.12 00:35,125963,125992,125958,125981,1,125975,125974.95,125939.3667,126055.4225,126418.6721,34
2020.06.12 00:30,125982,125989,125959,125963,-1,125974,125968.4,125938.4976,126062.4635,126426.5275,30
2020.06.12 00:25,125999,126011,125971,125982,-1,125991,125959.85,125938.3095,126069.8894,126434.4219,40
2020.06.12 00:20,125976,125999,125971,125996,1,125985,125951.5,125939.0929,126077.6499,126442.3498,28
2020.06.12 00:15,125991,126001,125956,125980,-1,125978.5,125946.15,125940.731,126085.7058,126450.3057,45
2020.06.12 00:10,125984,125999,125957,125991,1,125978,125942.2,125943.5929,126094.0193,126458.2841,42
2020.06.12 00:05,125979,126002,125973,125987,1,125987.5,125938.9,125947.85,126102.5441,126466.2793,29
2020.06.12 00:00,125990,126011,125915,125979,-1,125963,125936.9,125953.3119,126111.2364,126474.286,96
2020.06.11 23:55,125987,126019,125965,126010,1,125992,125930,125959.8167,126120.059,126482.2984,54
2020.06.11 23:50,125952,126000,125946,125987,1,125973,125924.65,125967.2071,126128.9825,126490.3109,54
2020.06.11 23:45,125903,125955,125900,125950,1,125927.5,125922,125975.481,126137.9817,126498.3174,55
2020.06.11 23:40,125926,125929,125888,125903,-1,125908.5,125924.2,125984.4167,126147.0372,126506.3111,41
2020.06.11 23:35,125884,125943,125868,125926,1,125905.5,125934.1,125993.0238,126156.1716,126514.2843,75
2020.06.11 23:30,125930,125930,125873,125884,-1,125901.5,125940.1,126001.5714,126165.4194,126522.2285,57
2020.06.11 23:25,125929,125937,125913,125930,1,125925,125938.65,126009.8476,126174.8096,126530.1343,24
2020.06.11 23:20,125936,125949,125928,125929,-1,125938.5,125937.15,126017.419,126184.3844,126537.9919,21
2020.06.11 23:15,125968,125974,125935,125937,-1,125954.5,125932,126024.4405,126194.1815,126545.7909,39
2020.06.11 23:10,125936,125969,125917,125968,1,125943,125927.7,126031.019,126204.2257,126553.5206,52
2020.06.11 23:05,125947,125956,125890,125936,-1,125923,125930.3,126036.969,126214.5301,126561.1703,66
2020.06.11 23:00,125878,125971,125868,125946,1,125919.5,125939.65,126042.0595,126225.077,126568.7297,103
2020.06.11 22:55,125891,125941,125861,125878,-1,125901,125948.95,126046.3429,126235.8309,126576.1893,80
2020.06.11 22:50,125982,125982,125879,125891,-1,125930.5,125953.35,126050.0214,126246.7439,126583.5405,103
2020.06.11 22:45,126023,126028,125981,125982,-1,126004.5,125950.15,126054.0024,126257.748,126590.7764,47
2020.06.11 22:40,125899,126037,125886,126023,1,125961.5,125955.9,126057.7976,126268.7983,126597.8909,151
2020.06.11 22:35,125945,125945,125876,125899,-1,125910.5,125967.95,126062.0786,126279.865,126604.8782,69
2020.06.11 22:30,125915,125969,125878,125944,1,125923.5,125980.55,126067.1405,126290.9066,126611.7328,91
2020.06.11 22:25,125872,125945,125861,125914,1,125903,126002.3,126072.4119,126301.8954,126618.4494,84
2020.06.11 22:20,125922,125932,125868,125872,-1,125900,126028.3,126077.5143,126312.8231,126625.0225,64
2020.06.11 22:15,125979,126017,125881,125919,-1,125949,126051.6,126082.5286,126323.679,126631.447,136
2020.06.11 22:10,125967,126068,125958,125977,1,126013,126066.6,126088.019,126334.4462,126637.7179,110
2020.06.11 22:05,126021,126043,125945,125964,-1,125994,126079.85,126093.919,126345.1124,126643.8307,98
2020.06.11 22:00,125944,126030,125919,126021,1,125974.5,126095.75,126099.8833,126355.6681,126649.7811,111
2020.06.11 21:55,126021,126037,125908,125944,-1,125972.5,126111.85,126105.9571,126366.0962,126655.5656,129
2020.06.11 21:50,126001,126045,125993,126021,1,126019,126114.85,126112.7214,126376.3473,126661.1815,52
2020.06.11 21:45,126027,126072,125990,126000,-1,126031,126119.6,126119.8452,126386.3553,126666.6274,82
2020.06.11 21:40,126087,126115,125984,126030,-1,126049.5,126112.45,126127.75,126396.0571,126671.9036,131
2020.06.11 21:35,126135,126154,126087,126087,-1,126120.5,126096.15,126136.9238,126405.3876,126677.0115,67
2020.06.11 21:30,126179,126209,126111,126136,-1,126160,126079.45,126147.1167,126414.2921,126681.9539,98
2020.06.11 21:25,126193,126205,126159,126179,-1,126182,126065.85,126157.931,126422.7428,126686.7342,46
2020.06.11 21:20,126134,126200,126126,126195,1,126163,126055.25,126169.3262,126430.7349,126691.3565,74
2020.06.11 21:15,126110,126146,126107,126135,1,126126.5,126046.55,126181.2595,126438.2816,126695.8249,39
2020.06.11 21:10,126138,126183,126084,126108,-1,126133.5,126038.9,126194.3929,126445.3893,126700.144,99
2020.06.11 21:05,126071,126197,126070,126138,1,126133.5,126030.6,126209.0262,126452.0697,126704.3181,127
2020.06.11 21:00,126086,126090,126008,126071,-1,126049,126033.75,126224.6,126458.3488,126708.3515,82
2020.06.11 20:55,126047,126164,125993,126087,1,126078.5,126035.6,126241.2595,126464.2519,126712.2487,171
2020.06.11 20:50,125910,126051,125905,126050,1,125978,126057.85,126257.6262,126469.8145,126716.0143,146
2020.06.11 20:45,125980,126007,125908,125910,-1,125957.5,126086.85,126272.7929,126475.0872,126719.6531,99
2020.06.11 20:40,126012,126019,125967,125980,-1,125993,126113,126287.1333,126480.1075,126723.1699,52
2020.06.11 20:35,126082,126084,126008,126011,-1,126046,126135.45,126301.0762,126484.8977,126726.5696,76
2020.06.11 20:30,126034,126092,126022,126082,1,126057,126156.9,126314.4167,126489.4759,126729.8578,70
2020.06.11 20:25,126071,126071,126008,126033,-1,126039.5,126181.9,126327.081,126493.8664,126733.0404,63
2020.06.11 20:20,126035,126090,126024,126071,1,126057,126203.75,126339.1857,126498.1019,126736.1234,66
2020.06.11 20:15,126059,126074,126027,126035,-1,126050.5,126221,126350.919,126502.2046,126739.113,47
2020.06.11 20:10,126048,126126,126035,126059,1,126080.5,126239.4,126362.4476,126506.203,126742.0162,91
2020.06.11 20:05,126139,126152,126042,126048,-1,126097,126256.9,126373.8024,126510.13,126744.8402,110
2020.06.11 20:00,126261,126274,126127,126139,-1,126200.5,126269.2,126385.8024,126514.0219,126747.5926,147
2020.06.11 19:55,126209,126299,126196,126261,1,126247.5,126278.45,126399.2262,126517.8929,126750.2814,103
2020.06.11 19:50,126287,126308,126201,126209,-1,126254.5,126288.8,126413.6262,126521.7589,126752.9151,107
2020.06.11 19:45,126247,126310,126231,126290,1,126270.5,126293.5,126429.1381,126525.6297,126755.5023,79
2020.06.11 19:40,126309,126341,126202,126249,-1,126271.5,126292.95,126445.7143,126529.5108,126758.0514,139
2020.06.11 19:35,126264,126319,126260,126309,1,126289.5,126294.55,126462.9214,126533.4032,126760.5714,59
2020.06.11 19:30,126245,126310,126241,126265,1,126275.5,126297.15,126480.0548,126537.3166,126763.071,69
2020.06.11 19:25,126245,126265,126181,126245,0,126223,126314.7,126495.5762,126541.2936,126765.5586,84
2020.06.11 19:20,126262,126294,126235,126245,-1,126264.5,126337.9,126508.7619,126545.3833,126768.0417,59
2020.06.11 19:15,126329,126336,126208,126262,-1,126272,126360.8,126519.2786,126549.6375,126770.5269,128
2020.06.11 19:10,126346,126357,126290,126329,-1,126323.5,126385.45,126527.1786,126554.0976,126773.02,67
2020.06.11 19:05,126369,126373,126307,126343,-1,126340,126401.55,126532.9619,126558.8019,126775.5257,66
2020.06.11 19:00,126338,126396,126320,126369,1,126358,126405.35,126537.9452,126563.7703,126778.0487,76
2020.06.11 18:55,126308,126375,126260,126339,1,126317.5,126414.15,126541.931,126569.0284,126780.5936,115
2020.06.11 18:50,126238,126324,126208,126306,1,126266,126428.25,126544.931,126574.6078,126783.1648,116
2020.06.11 18:45,126355,126380,126231,126238,-1,126305.5,126437.05,126547.4071,126580.5426,126785.766,149
2020.06.11 18:40,126308,126362,126241,126355,1,126301.5,126447.85,126549.331,126586.8577,126788.4009,121
2020.06.11 18:35,126478,126490,126307,126307,-1,126398.5,126457.95,126551.0095,126593.5508,126791.0732,183
2020.06.11 18:30,126469,126535,126458,126478,1,126496.5,126467.4,126552.5643,126600.6211,126793.7861,77
2020.06.11 18:25,126559,126561,126441,126465,-1,126501,126481.5,126553.7786,126608.0606,126796.5432,120
2020.06.11 18:20,126595,126613,126527,126561,-1,126570,126495.35,126554.3643,126615.8631,126799.3473,86
2020.06.11 18:15,126377,126625,126377,126602,1,126501,126521.2,126553.5214,126624.0312,126802.201,248
2020.06.11 18:10,126419,126451,126341,126380,-1,126396,126560.35,126550.1857,126632.5878,126805.1059,110
2020.06.11 18:05,126363,126458,126353,126417,1,126405.5,126591.2,126544.931,126641.5377,126808.0632,105
2020.06.11 18:00,126439,126460,126354,126361,-1,126407,126619.25,126538.1333,126650.8721,126811.0734,106
2020.06.11 17:55,126438,126459,126328,126441,1,126393.5,126641.05,126530.0119,126660.5654,126814.1371,131
2020.06.11 17:50,126431,126460,126359,126441,1,126409.5,126655.9,126521.3095,126670.5825,126817.2545,101
2020.06.11 17:45,126553,126568,126431,126432,-1,126499.5,126656.95,126512.9881,126680.8906,126820.4256,137
2020.06.11 17:40,126615,126638,126544,126553,-1,126591,126640.65,126505.7667,126691.4368,126823.6505,94
