UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,64113,64116,64095,64114,1,64105.5,64087.65,64112.6881,64090.10399,64222.00274,21
2020.06.12 06:35,64080,64124,64079,64113,1,64101.5,64092.7,64107.93333,64091.17652,64226.0838,45
2020.06.12 06:30,64071,64086,64061,64079,1,64073.5,64102.4,64102.53571,64092.42182,64230.27548,25
2020.06.12 06:25,64069,64080,64049,64071,1,64064.5,64114.7,64096.50238,64093.8665,64234.57806,31
2020.06.12 06:20,64054,64069,64030,64069,1,64049.5,64127.35,64089.99524,64095.52896,64238.99135,39
2020.06.12 06:15,64083,64090,64050,64053,-1,64070,64138.55,64083.38333,64097.41163,64243.51462,40
2020.06.12 06:10,64101,64117,64072,64083,-1,64094.5,64152,64076.56667,64099.5258,64248.14637,45
2020.06.12 06:05,64079,64102,64065,64101,1,64083.5,64165.8,64069.7619,64101.8804,64252.88435,37
2020.06.12 06:00,64088,64113,64059,64079,-1,64086,64175.8,64062.93095,64104.48383,64257.72551,54
2020.06.12 05:55,64140,64144,64078,64088,-1,64111,64179.6,64056.28095,64107.33466,64262.66634,66
2020.06.12 05:50,64143,64154,64131,64140,-1,64142.5,64175.8,64049.94524,64110.43283,64267.70294,23
2020.06.12 05:45,64155,64177,64127,64143,-1,64152,64169.4,64044.04286,64113.77697,64272.83096,50
2020.06.12 05:40,64161,64190,64151,64155,-1,64170.5,64156.85,64039.04762,64117.35736,64278.04578,39
2020.06.12 05:35,64193,64214,64161,64161,-1,64187.5,64140.05,64035.25,64121.15421,64283.34264,53
2020.06.12 05:30,64189,64201,64151,64193,1,64176,64125.4,64032.54762,64125.14657,64288.71673,50
2020.06.12 05:25,64201,64203,64161,64189,-1,64182,64110.75,64030.98333,64129.3072,64294.16322,42
2020.06.12 05:20,64234,64258,64200,64202,-1,64229,64087.45,64030.94524,64133.59086,64299.67772,58
2020.06.12 05:15,64223,64240,64203,64234,1,64221.5,64065.05,64032.2881,64137.94906,64305.25645,37
2020.06.12 05:10,64159,64223,64149,64223,1,64186,64043.5,64035.16667,64142.32625,64310.89625,74
2020.06.12 05:05,64133,64165,64133,64159,1,64149,64028.05,64039.33333,64146.67536,64316.59439,32
2020.06.12 05:00,64109,64136,64073,64134,1,64104.5,64014.3,64044.89286,64150.94347,64322.34843,63
2020.06.12 04:55,64081,64114,64062,64109,1,64088,64000.95,64051.75,64155.08787,64328.15618,52
2020.06.12 04:50,64009,64081,64009,64081,1,64045,63992.85,64059.40714,64159.07353,64334.01554,72
2020.06.12 04:45,64023,64031,64008,64013,-1,64019.5,63989.05,64067.57381,64162.87121,64339.92458,23
2020.06.12 04:40,64056,64068,63991,64023,-1,64029.5,63988,64075.95952,64166.45349,64345.88164,77
2020.06.12 04:35,64025,64060,64011,64056,1,64035.5,63990.7,64084.37381,64169.80194,64351.8853,49
2020.06.12 04:30,64006,64030,63962,64028,1,63996,63999.7,64092.44048,64172.91733,64357.93426,68
2020.06.12 04:25,63984,64013,63982,64006,1,63997.5,64008.85,64100.03095,64175.80293,64364.02725,31
2020.06.12 04:20,63982,63994,63947,63983,1,63970.5,64022.9,64106.82857,64178.47198,64370.16286,47
2020.06.12 04:15,63982,64017,63972,63982,0,63994.5,64032.35,64113.1,64180.92946,64376.33966,45
2020.06.12 04:10,63944,63992,63942,63982,1,63967,64039.95,64118.89286,64183.1835,64382.55616,50
2020.06.12 04:05,63955,63972,63937,63944,-1,63954.5,64042.75,64124.37857,64185.23682,64388.81085,35
2020.06.12 04:00,63963,63988,63940,63955,-1,63964,64045.45,64129.44762,64187.1015,64395.10227,48
2020.06.12 03:55,63998,64008,63955,63966,-1,63981.5,64051.95,64133.86429,64188.79773,64401.42886,53
2020.06.12 03:50,64033,64044,63994,63999,-1,64019,64060.3,64137.47381,64190.35277,64407.78884,50
2020.06.12 03:45,64093,64093,64032,64034,-1,64062.5,64068.65,64140.25,64191.80399,64414.18001,61
2020.06.12 03:40,64101,64108,64064,64093,-1,64086,64077.9,64142.19048,64193.18876,64420.59968,44
2020.06.12 03:35,64107,64114,64064,64101,-1,64089,64086.65,64143.78333,64194.53682,64427.04479,50
2020.06.12 03:30,64088,64143,64079,64108,1,64111,64093.25,64145.32143,64195.86971,64433.51194,64
2020.06.12 03:25,64090,64105,64073,64088,-1,64089,64103.95,64146.69762,64197.21617,64439.99755,32
