UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,136274,136300,136269,136275,1,136284.5,136324.7,136352.9571,136431.2099,136189.122,31
2020.06.12 06:35,136292,136308,136264,136274,-1,136286,136322.1,136362.881,136431.0614,136181.5245,44
2020.06.12 06:30,136329,136333,136282,136293,-1,136307.5,136317.75,136373.5452,136430.5848,136173.7761,51
2020.06.12 06:25,136357,136378,136301,136325,-1,136339.5,136306.45,136385.3143,136429.7471,136165.8782,77
2020.06.12 06:20,136378,136409,136345,136358,-1,136377,136294.45,136398.1048,136428.522,136157.8322,64
2020.06.12 06:15,136336,136389,136309,136378,1,136349,136287.8,136411.1619,136426.8969,136149.6394,80
2020.06.12 06:10,136324,136358,136318,136336,1,136338,136278.2,136424.5905,136424.8559,136141.3018,40
2020.06.12 06:05,136352,136371,136317,136324,-1,136344,136267.9,136438.1071,136422.3898,136132.8214,54
2020.06.12 06:00,136342,136365,136309,136352,1,136337,136262.65,136451.35,136419.4956,136124.2009,56
2020.06.12 05:55,136252,136355,136252,136342,1,136303.5,136266.8,136464.0286,136416.1817,136115.4429,103
2020.06.12 05:50,136273,136282,136249,136252,-1,136265.5,136281.25,136475.9452,136412.4638,136106.5497,33
2020.06.12 05:45,136279,136283,136237,136273,-1,136260,136299.05,136486.7476,136408.3673,136097.5234,46
2020.06.12 05:40,136249,136293,136235,136279,1,136264,136320.1,136495.7643,136403.9266,136088.3654,58
2020.06.12 05:35,136235,136258,136195,136249,1,136226.5,136349,136502.5119,136399.1779,136079.0773,63
2020.06.12 05:30,136275,136294,136220,136235,-1,136257,136369.55,136507.3524,136394.1508,136069.6602,74
2020.06.12 05:25,136265,136302,136263,136275,1,136282.5,136385.65,136510.5286,136388.8827,136060.115,39
2020.06.12 05:20,136230,136277,136207,136265,1,136242,136410.65,136511.6619,136383.4267,136050.4421,70
2020.06.12 05:15,136233,136271,136211,136230,-1,136241,136435.9,136510.65,136377.8418,136040.6411,60
2020.06.12 05:10,136334,136338,136231,136234,-1,136284.5,136461.55,136507.6833,136372.1879,136030.7107,107
2020.06.12 05:05,136363,136381,136309,136334,-1,136345,136481.45,136503.0095,136366.5189,136020.6491,72
2020.06.12 05:00,136413,136457,136363,136363,-1,136410,136498.3,136496.4738,136360.8859,136010.454,94
2020.06.12 04:55,136432,136470,136406,136413,-1,136438,136515.55,136488.369,136355.3211,136000.1234,64
