UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,94442,94448,94432,94432,-1,94440,94446.4,94449.00952,94429.89446,94322.12317,16
2020.06.12 06:35,94437,94445,94433,94441,1,94439,94443.8,94450.63333,94428.79275,94317.46913,12
2020.06.12 06:30,94467,94470,94425,94437,-1,94447.5,94440.75,94452.30714,94427.64889,94312.72575,45
2020.06.12 06:25,94466,94475,94464,94467,1,94469.5,94434.95,94454.01429,94426.45808,94307.89756,11
2020.06.12 06:20,94448,94468,94447,94466,1,94457.5,94430.7,94455.5881,94425.22625,94302.98903,21
2020.06.12 06:15,94436,94452,94436,94448,1,94444,94429.55,94456.80952,94423.96235,94298.00483,16
2020.06.12 06:10,94455,94457,94436,94438,-1,94446.5,94427.95,94457.75714,94422.66883,94292.94986,21
2020.06.12 06:05,94463,94464,94454,94455,-1,94459,94427.3,94458.41667,94421.35078,94287.82933,10
2020.06.12 06:00,94456,94465,94446,94463,1,94455.5,94428.15,94458.7619,94420.01595,94282.6487,19
2020.06.12 05:55,94410,94459,94410,94456,1,94434.5,94431.65,94458.68095,94418.67868,94277.41368,49
2020.06.12 05:50,94409,94414,94408,94410,1,94411,94437.05,94458.19048,94417.35443,94272.13015,6
2020.06.12 05:45,94409,94418,94408,94409,0,94413,94440.95,94457.49524,94416.05277,94266.80433,10
2020.06.12 05:40,94423,94426,94408,94409,-1,94417,94446.15,94456.4881,94414.79181,94261.44269,18
2020.06.12 05:35,94402,94423,94400,94423,1,94411.5,94452.6,94455.15714,94413.5732,94256.05203,23
2020.06.12 05:30,94420,94431,94399,94402,-1,94415,94459.35,94453.54524,94412.3923,94250.63953,32
2020.06.12 05:25,94437,94449,94416,94420,-1,94432.5,94462.7,94451.75714,94411.24546,94245.21255,33
2020.06.12 05:20,94439,94441,94420,94437,-1,94430.5,94467.45,94449.64524,94410.13527,94239.7785,21
2020.06.12 05:15,94464,94468,94437,94439,-1,94452.5,94470.55,94447.25714,94409.06262,94234.34491,31
2020.06.12 05:10,94471,94474,94454,94464,-1,94464,94472.45,94444.60238,94408.0304,94228.91939,20
2020.06.12 05:05,94479,94479,94460,94471,-1,94469.5,94472.8,94441.73333,94407.04009,94223.50971,19
2020.06.12 05:00,94449,94484,94446,94479,1,94465,94474.6,94438.52381,94406.09806,94218.12382,38
2020.06.12 04:55,94463,94465,94439,94449,-1,94452,94477.75,94434.82143,94405.21196,94212.76971,26
2020.06.12 04:50,94475,94476,94462,94463,-1,94469,94477.9,94430.92143,94404.3814,94207.45545,14
2020.06.12 04:45,94481,94483,94469,94475,-1,94476,94475.9,94426.98571,94403.61257,94202.18894,14
2020.06.12 04:40,94466,94499,94466,94481,1,94482.5,94470.8,94423.29286,94402.8964,94196.97794,33
2020.06.12 04:35,94476,94476,94456,94465,-1,94466,94463.75,94419.95,94402.21827,94191.83007,20
2020.06.12 04:30,94474,94492,94464,94476,1,94478,94455.2,94416.95952,94401.56434,94186.75255,28
2020.06.12 04:25,94483,94494,94473,94474,-1,94483.5,94447.85,94414.27381,94400.92403,94181.75219,21
2020.06.12 04:20,94474,94493,94473,94483,1,94483,94441.15,94411.95476,94400.27885,94176.83544,20
2020.06.12 04:15,94478,94483,94463,94474,-1,94473,94435.4,94410.02381,94399.60819,94172.00844,20
2020.06.12 04:10,94489,94491,94475,94478,-1,94483,94429.95,94408.39524,94398.89507,94167.27685,16
2020.06.12 04:05,94474,94494,94473,94489,1,94483.5,94426.75,94406.9119,94398.12874,94162.64582,21
2020.06.12 04:00,94457,94486,94455,94474,1,94470.5,94426.35,94405.45714,94397.29945,94158.11985,31
2020.06.12 03:55,94448,94471,94441,94457,1,94456,94425,94404.13095,94396.38721,94153.70297,30
2020.06.12 03:50,94414,94449,94414,94446,1,94431.5,94424.65,94402.8881,94395.38389,94149.39868,35
2020.06.12 03:45,94378,94415,94376,94414,1,94395.5,94425.5,94401.8119,94394.27724,94145.21017,39
2020.06.12 03:40,94410,94410,94375,94378,-1,94392.5,94425.15,94401.07619,94393.04895,94141.14037,35
2020.06.12 03:35,94410,94416,94404,94410,0,94410,94423.1,94400.59286,94391.67901,94137.19202,12
2020.06.12 03:30,94427,94427,94405,94412,-1,94416,94420.4,94400.39048,94390.15122,94133.36763,22
2020.06.12 03:25,94410,94432,94399,94427,1,94415.5,94416.7,94400.45476,94388.4505,94129.66929,33
2020.06.12 03:20,94447,94447,94410,94410,-1,94428.5,94412.55,94400.71667,94386.56163,94126.09874,37
2020.06.12 03:15,94473,94473,94430,94446,-1,94451.5,94407.2,94401.29048,94384.46938,94122.65722,43
2020.06.12 03:10,94448,94485,94448,94473,1,94466.5,94400,94402.05714,94382.17154,94119.34555,37
2020.06.12 03:05,94439,94457,94428,94448,1,94442.5,94396,94402.74048,94379.67641,94116.16407,29
2020.06.12 03:00,94415,94447,94409,94439,1,94428,94393.25,94403.25952,94376.99801,94113.11274,38
2020.06.12 02:55,94395,94415,94393,94415,1,94404,94393.25,94403.12143,94374.1608,94110.19099,22
2020.06.12 02:50,94380,94398,94380,94395,1,94389,94393.55,94402.80952,94371.17381,94107.39791,18
