UTC,OPEN,MAX,MIN,CLOSE,CANDLE,MEDIA,MA 11,MA 22,MA 44,MA 88,VOL
2020.06.12 06:40,10698900,10700000,10697700,10698700,-1,10698850,10684835,10680528.1,10676533,10680762.23,2300
2020.06.12 06:35,10693400,10702600,10693400,10698900,1,10698000,10683405,10680056.43,10676489.3,10680739.59,9200
2020.06.12 06:30,10686000,10693900,10685600,10693400,1,10689750,10682800,10679593.33,10676458.33,10680712.11,8300
2020.06.12 06:25,10684100,10687300,10683000,10686100,1,10685150,10682735,10679093.1,10676441.35,10680679.68,4300
2020.06.12 06:20,10681800,10684400,10681400,10684100,1,10682900,10682925,10678521.19,10676440.56,10680642.19,3000
2020.06.12 06:15,10679400,10682100,10679400,10681800,1,10680750,10683000,10677894.76,10676458.49,10680599.53,2700
2020.06.12 06:10,10681700,10681700,10677800,10679400,-1,10679750,10683215,10677223.57,10676497.49,10680551.59,3900
2020.06.12 06:05,10683100,10683500,10681400,10681700,-1,10682450,10683240,10676554.52,10676558.76,10680498.3,2100
2020.06.12 06:00,10684000,10685600,10682600,10683100,-1,10684100,10683135,10675896.9,10676643.25,10680439.6,3000
2020.06.12 05:55,10682900,10684100,10681600,10683900,1,10682850,10683040,10675255.24,10676751.63,10680375.47,2500
2020.06.12 05:50,10682100,10684000,10681300,10682900,1,10682650,10682910,10674642.38,10676884.08,10680305.97,2700
2020.06.12 05:45,10682400,10685300,10682100,10682100,-1,10683700,10682690,10674105.24,10677039.39,10680231.2,3200
2020.06.12 05:40,10684400,10685100,10682300,10682600,-1,10683700,10681815,10673676.67,10677215.81,10680151.34,2800
2020.06.12 05:35,10685600,10685900,10683100,10684400,-1,10684500,10680555,10673396.9,10677410.11,10680066.65,2800
2020.06.12 05:30,10682900,10686700,10682900,10685700,1,10684800,10679300,10673278.1,10677618.42,10679977.45,3800
2020.06.12 05:25,10679800,10683500,10679500,10682700,1,10681500,10678505,10673285.48,10677837.28,10679884.12,4000
2020.06.12 05:20,10683400,10685200,10678600,10679800,-1,10681900,10677825,10673376.9,10678064.13,10679787.09,6600
2020.06.12 05:15,10683800,10684400,10681000,10683400,-1,10682700,10677300,10673519.52,10678296.88,10679686.83,3400
2020.06.12 05:10,10682200,10684900,10681200,10683800,1,10683050,10676545,10673704.29,10678533.89,10679583.85,3700
2020.06.12 05:05,10681200,10684400,10679400,10682300,1,10681900,10676100,10673913.1,10678774.1,10679478.71,5000
2020.06.12 05:00,10683400,10683500,10679200,10681100,-1,10681350,10675565,10674168.33,10679015.61,10679372.02,4300
2020.06.12 04:55,10679000,10684600,10678400,10683400,1,10681500,10674485,10674472.86,10679256.66,10679264.41,6200
2020.06.12 04:50,10671400,10678500,10671400,10678500,1,10674950,10673500,10674795.24,10679495.92,10679156.53,7100
2020.06.12 04:45,10671700,10673300,10670500,10671400,-1,10671900,10673075,10675119.29,10679733.02,10679049.06,2800
2020.06.12 04:40,10673900,10673900,10670600,10671700,-1,10672250,10672230,10675484.52,10679966.85,10678942.63,3300
2020.06.12 04:35,10673200,10675500,10671600,10673900,1,10673550,10670915,10675902.38,10680196.14,10678837.93,3900
2020.06.12 04:30,10677200,10677500,10672700,10673200,-1,10675100,10669845,10676355,10680419.39,10678735.63,4800
2020.06.12 04:25,10675200,10679700,10675200,10677200,1,10677450,10669120,10676808.33,10680635.73,10678636.37,4500
2020.06.12 04:20,10677500,10677500,10673500,10675200,-1,10675500,10669190,10677225,10680844.9,10678540.8,4000
2020.06.12 04:15,10675300,10679700,10675200,10677500,1,10677450,10669325,10677606.67,10681046.61,10678449.52,4500
2020.06.12 04:10,10673700,10678500,10673500,10675300,1,10676000,10669565,10677945.24,10681241,10678363.09,5000
2020.06.12 04:05,10666700,10674900,10666500,10673700,1,10670700,10670040,10678235.24,10681428.43,10678282.03,8400
2020.06.12 04:00,10666600,10667400,10662800,10666700,1,10665100,10671410,10678451.19,10681610.16,10678206.83,4600
2020.06.12 03:55,10667300,10670200,10665100,10666600,-1,10667650,10672815,10678598.33,10681787.1,10678137.89,5100
2020.06.12 03:50,10660900,10667700,10659900,10667100,1,10663800,10674680,10678647.14,10681961.03,10678075.59,7800
2020.06.12 03:45,10662500,10662500,10658300,10661000,-1,10660400,10676805,10678599.76,10682133.37,10678020.28,4200
2020.06.12 03:40,10668000,10668600,10660200,10662500,-1,10664400,10678660,10678485.71,10682305.17,10677972.25,8400
2020.06.12 03:35,10674300,10675300,10665100,10668000,-1,10670200,10679745,10678352.38,10682476.6,10677931.8,10200
2020.06.12 03:30,10679000,10679000,10673400,10674300,-1,10676200,10680295,10678229.76,10682647.56,10677899.21,5600
2020.06.12 03:25,10680500,10681000,10676600,10679000,-1,10678800,10680425,10678141.43,10682817.21,10677874.73,4400
2020.06.12 03:20,10677500,10680500,10676300,10680500,1,10678400,10680485,10678090.71,10682984.76,10677858.59,4200
2020.06.12 03:15,10676900,10677700,10673200,10677600,1,10675450,10680925,10678056.19,10683150.08,10677850.95,4500
2020.06.12 03:10,10680200,10681000,10676600,10676900,-1,10678800,10680880,10678059.76,10683312.73,10677851.97,4400
2020.06.12 03:05,10683700,10683800,10679600,10680200,-1,10681700,10680270,10678100.95,10683472.34,10677861.75,4200
2020.06.12 03:00,10680600,10684300,10680600,10683700,1,10682450,10679880,10678177.14,10683628.42,10677880.39,3700
2020.06.12 02:55,10683100,10684300,10679000,10680300,-1,10681650,10679900,10678261.9,10683780.45,10677907.95,5300
2020.06.12 02:50,10681600,10684300,10681600,10683100,1,10682950,10679690,10678362.62,10683927.24,10677944.46,2700
2020.06.12 02:45,10680500,10681900,10680200,10681800,1,10681050,10679350,10678487.38,10684067.58,10677989.89,1700
2020.06.12 02:40,10680800,10683200,10680200,10680500,-1,10681700,10678640,10678665.71,10684199.71,10678044.2,3000
2020.06.12 02:35,10678900,10681500,10678700,10680800,1,10680100,10677940,10678900.71,10684322.02,10678107.3,2800
2020.06.12 02:30,10679100,10680400,10677600,10679000,-1,10679000,10677340,10679189.05,10684433.05,10678179.08,2800
2020.06.12 02:25,10679100,10680800,10678900,10678900,-1,10679850,10676675,10679530,10684531.15,10678259.39,1900
2020.06.12 02:20,10676600,10680300,10676400,10679100,1,10678350,10676130,10679915.71,10684614.76,10678348.06,3900
2020.06.12 02:15,10677700,10677700,10673500,10676600,-1,10675600,10675945,10680337.62,10684682.56,10678444.88,4200
2020.06.12 02:10,10679300,10680500,10676600,10677700,-1,10678550,10675905,10680783.57,10684732.66,10678549.62,3900
2020.06.12 02:05,10683300,10684300,10679400,10679400,-1,10681850,10675705,10681262.62,10684762.67,10678662.04,4900
2020.06.12 02:00,10678900,10684000,10677700,10683400,1,10680850,10675810,10681751.67,10684771.16,10678781.87,6300
2020.06.12 01:55,10676900,10679000,10676300,10678900,1,10677650,10676265,10682235.48,10684757.21,10678908.85,2700
2020.06.12 01:50,10672600,10676900,10672300,10676900,1,10674600,10676945,10682696.67,10684720.27,10679042.68,4600
2020.06.12 01:45,10673000,10674300,10671900,10672600,-1,10673100,10677720,10683131.43,10684659.64,10679183.07,2400
2020.06.12 01:40,10672000,10674100,10671900,10673000,1,10673000,10678570,10683527.86,10684574.78,10679329.74,2200
2020.06.12 01:35,10672000,10674500,10671900,10672000,0,10673200,10679420,10683895.48,10684464.65,10679482.4,2600
2020.06.12 01:30,10670900,10675400,10670400,10672000,1,10672900,10680200,10684242.14,10684328.01,10679640.77,5000
2020.06.12 01:25,10678000,10678000,10669500,10671000,-1,10673750,10680955,10684553.33,10684163.7,10679804.59,8500
2020.06.12 01:20,10678900,10679000,10677300,10678200,-1,10678150,10681135,10684838.1,10683971.27,10679973.56,1700
2020.06.12 01:15,10681300,10681300,10678400,10678900,-1,10679850,10681480,10685083.33,10683751.62,10680147.39,2900
2020.06.12 01:10,10682000,10682800,10681000,10681100,-1,10681900,10681680,10685314.52,10683505.86,10680325.78,1800
2020.06.12 01:05,10681500,10683300,10681100,10682000,1,10682200,10681805,10685539.29,10683235.22,10680508.42,2200
2020.06.12 01:00,10680800,10682700,10680100,10681500,1,10681400,10681970,10685761.67,10682940.89,10680695.02,2600
2020.06.12 00:55,10680900,10681300,10680400,10680800,-1,10680850,10682385,10685954.76,10682624.39,10680885.29,900
2020.06.12 00:50,10681900,10682900,10680100,10680900,-1,10681500,10682875,10686110.95,10682287.4,10681078.95,2800
2020.06.12 00:45,10681300,10682400,10681000,10681900,1,10681700,10683395,10686219.52,10681932.03,10681275.76,1400
2020.06.12 00:40,10681800,10682100,10679300,10681300,-1,10680700,10683835,10686280,10681560.36,10681475.48,2800
2020.06.12 00:35,10682200,10682500,10680100,10681800,-1,10681300,10684230,10686304.29,10681174.09,10681677.93,2400
2020.06.12 00:30,10683600,10683600,10676300,10682200,-1,10679950,10684805,10686294.76,10680774.17,10681882.94,7300
2020.06.12 00:25,10683600,10683600,10683000,10683600,0,10683300,10685270,10686265.24,10680361.85,10682090.41,600
2020.06.12 00:20,10684500,10684500,10683300,10683600,-1,10683900,10685765,10686207.14,10679938.9,10682300.23,1200
2020.06.12 00:15,10682300,10684700,10682200,10684500,1,10683450,10686080,10686125.95,10679507.03,10682512.32,2500
2020.06.12 00:10,10684000,10685100,10681000,10682100,-1,10683050,10686425,10686010.48,10679067.81,10682726.62,4100
2020.06.12 00:05,10687400,10687400,10682600,10684000,-1,10685000,10686630,10685873.1,10678622.46,10682943.06,4800
2020.06.12 00:00,10685900,10688400,10684400,10687400,1,10686400,10686850,10685723.81,10678172.28,10683161.59,4000
2020.06.11 23:55,10686100,10688300,10685500,10685700,-1,10686900,10686895,10685580.95,10677717.81,10683382.17,2800
2020.06.11 23:50,10685500,10686200,10684000,10686100,1,10685100,10687140,10685436.43,10677260.35,10683604.76,2200
2020.06.11 23:45,10685500,10686300,10684200,10685500,0,10685250,10687480,10685295.24,10676801.33,10683829.33,2100
2020.06.11 23:40,10685600,10686400,10685000,10685500,-1,10685700,10687490,10685165.24,10676342.82,10684055.86,1400
2020.06.11 23:35,10690200,10690500,10685400,10685600,-1,10687950,10687115,10685053.57,10675885.83,10684284.39,5100
2020.06.11 23:30,10686800,10691400,10686300,10690200,1,10688850,10686630,10684964.29,10675429.96,10684515.01,5100
